Markers	cM	LG
CmSNP00357	28.086	C
CmSNP01003	30.36	C
CmSNP01030	30.75	C
CmSNP00486	30.916	C
CmSNP01508	32.461	C
CmSI0592	33.912	C
CmSNP01021	34.712	C
CmSNP01446	35.386	C
CmSNP01019	35.952	C
CmSNP00223	36.648	C
CmSNP00221	36.783	C
CmSNP00998	37.207	C
CmSNP00523	37.376	C
CmSNP00738	37.463	C
CmSNP00437	38.299	C
CmSNP01466	39.597	C
CmSI0223	39.771	C
CmSNP00063	41.043	C
CmSI0574	41.94	C
CmSNP00891	42.155	C
CmSNP00469	42.476	C
CmSNP01524	42.623	C
CmSNP01053	42.682	C
CmSNP00914	43.126	C
CmSNP00508	43.208	C
CmSNP01533	43.53	C
CmSNP01416	43.611	C
CmSNP00814	43.912	C
CmSI0936	44.034	C
CmSI0918	44.371	C
CmSNP00717	44.878	C
CmSNP01071	45.205	C
CmSI0392	45.688	C
CmSNP00262	48.315	C
CmSNP00877	49.078	C
CmSNP00194	49.279	C
CmSNP00323	49.281	C
CmSNP00180	49.284	C
CmSI0863	49.42	C
CmSI0725	49.511	C
CmSI0913	49.563	C
CmSNP01366	49.922	C
CmSNP00228	50.121	C
CmSI0741	50.272	C
CmSNP00365	50.593	C
CmSI0727	50.811	C
CmSNP00016	51.052	C
CmSI0776	51.139	C
CmSNP00279	51.235	C
CmSNP00618	51.27	C
CmSNP00659	52.315	C
CmSNP00596	52.372	C
CmSNP01287	52.724	C
CmSNP01207	52.912	C
CmSNP00280	53.948	C
CCallv2c48118_1279	55.681	C
CCallv2c11129_450	55.682	C
CmSNP00039	56.702	C
CmSNP01529	58.404	C
CmSNP01428	60.086	C
CmSNP00307	60.743	C
CCallv2c2017_526	62.285	C
CCallv2c47186_942	62.997	C
CmSNP00169	63.867	C
CmSNP00698	64.529	C
CmSNP01437	66.182	C
CmSNP00587	66.631	C
CmSNP00410	67.112	C
CmSNP00337	68.074	C
CmSI0832	68.548	C
CmSNP00972	70.327	C
CmSNP00308	72.45	C
CmSNP00673	73.652	C
CmSNP00494	74.926	C
CCallv2c31202_240	85.61	C
CCallv2c20181_324	91.45	C
CCallv2c2460_687	94.226	C
CmSI0798	0	D
CmSNP01130	1.486	D
CmSNP00226	2.047	D
CmSNP00178	2.475	D
CmSNP00748	5.423	D
CCallv2c7351_1457	5.561	D
CmSNP00407	5.792	D
CmSNP00429	6.805	D
CmSI0622	8.65	D
CmSNP00319	8.937	D
CmSNP00617	9.066	D
CmSNP00788	9.477	D
CmSNP00363	10.123	D
CmSNP01463	10.509	D
CmSNP01395	10.834	D
CmSNP00320	11.3	D
CmSNP00863	11.702	D
CmSNP00409	12.729	D
CmSI0426	12.932	D
CmSNP00038	13.088	D
CmSI0810	13.411	D
CmSI0810 	13.575	D
CmSNP01423	13.671	D
CmSNP00328	14.038	D
CmSNP00722	15.146	D
CmSNP00340	15.61	D
CmSNP00361	16.309	D
CmSNP01457	16.889	D
CmSNP00384	17.122	D
CmSNP01055	17.436	D
CmSNP01531	17.584	D
CmSNP00426	17.63	D
CmSNP00218	18.239	D
CmSNP01365	18.824	D
CmSI0815	19.293	D
CmSNP00786	19.531	D
CmSI0013	19.577	D
CmSNP00718	19.665	D
CmSNP00895	20.012	D
CmSNP00439	20.162	D
CmSNP00123	20.759	D
CmSNP00204	21.626	D
CmSNP01225	21.798	D
CmSNP00451	21.943	D
CmSNP00561	22.4	D
CmSNP00026	22.998	D
CmSNP01387	23.599	D
CmSNP00599	24.1	D
CmSNP01198	24.281	D
CmSI0504	24.586	D
CmSI0739	25.203	D
CmSNP00020	25.328	D
CmSNP00154	25.894	D
CmSNP00425	26.118	D
CmSNP00954	26.176	D
CmSNP01505	26.176	D
CmSNP00751	26.866	D
CmSNP01277	26.965	D
CmSNP01062	27.518	D
CmSNP01392	28.682	D
CmSNP01126	28.742	D
CmSI0561	29.144	D
CmSNP01306	29.903	D
CmSI0914	31.738	D
CmSNP00347	31.792	D
CmSNP00114	32.278	D
CmSNP00236	33.198	D
CmSI0835	33.345	D
CmSNP00517	33.479	D
CmSNP01487	33.695	D
CmSNP00478	33.695	D
CmSI0935	34.628	D
CmSNP00402	34.783	D
CmSNP00172	36.403	D
CmSNP00070	36.819	D
CmSNP00012	37.581	D
CmSNP01077	37.796	D
CmSI0646	38.231	D
CmSNP01411	38.701	D
CmSNP00074	38.789	D
CmSNP00289	40.325	D
CmSNP01174	41.22	D
CmSI0119	41.642	D
CmSNP00556	44.195	D
CmSI0585	45.545	D
CmSNP00800	46.179	D
CmSI0602	46.948	D
CmSI0484	47.434	D
CCallv2c22350_1138	47.988	D
CCallv2c44555_1172	49.838	D
CCallv2c28998_562	49.944	D
CCallv2c14751_1642	49.96	D
CCallv2c46976_1083	50.461	D
CCallv2c46417_593	51.374	D
CmSI0689	52.372	D
CCallv2c1064_584	52.846	D
CCallv2c47852_1442	52.894	D
CmSI0931	54.377	D
CCallv2c426_1074	56.164	D
CCallv2c8186_103	57.432	D
CmSNP00496	57.9	D
CmSI0602 	61.551	D
CCallv2c9910_190	72.36	D
CCallv2c11541_1441	75.855	D
CCallv2c38748_967	81.182	D
CCallv2c19527_973	0	E
CCallv2c8354_1160	1.576	E
CCallv2c197_1636	12.676	E
CmSNP01520	18.287	E
CmSNP01317	23.141	E
CmSI0945	24.401	E
CmSNP00886	24.764	E
CmSNP00068	25.275	E
CmSNP00834	25.438	E
CmSNP01197	26.758	E
CmSI0944	27.526	E
CmSNP01378	27.963	E
CmSI0011	29.672	E
CmSNP01038	31.598	E
CmSI0380	31.7	E
CmSNP00809	32.447	E
CmSNP00671	32.569	E
CmSNP01056	32.872	E
CmSNP00006	33.153	E
CmSNP00021	34.131	E
CmSNP01106	35.879	E
CmSNP00098	36.951	E
CmSNP00880	37.11	E
CmSNP00513	37.282	E
CmSNP00950	37.615	E
CmSNP01522	38.148	E
CmSNP00244	38.795	E
CmSNP00921	39.026	E
CmSNP01244	39.026	E
CmSNP01031	39.052	E
CmSNP00625	39.364	E
CmSNP00822	39.986	E
CmSNP00371	40.332	E
CmSNP00148	40.818	E
CmSNP01199	41.02	E
CmSNP00907	41.258	E
CmSNP00639	41.836	E
CmSNP00417	42.021	E
CmSI0541	42.295	E
CmSNP00268	42.66	E
CmSNP01456	42.811	E
CmSNP01530	42.95	E
CmSNP00455	43.038	E
CmSNP00875	43.572	E
CmSNP00962	43.67	E
CmSNP00495	44.154	E
CmSI0463	44.658	E
CmSNP00678	45.111	E
CmSNP00942	45.525	E
CmSNP00266	45.595	E
CmSNP01425	46.256	E
CmSNP00216	46.774	E
CmSNP00736	46.815	E
CmSNP00631	47.09	E
CmSI0467	47.369	E
CmSNP01421	47.489	E
CmSNP01051	47.686	E
CmSNP00330	47.686	E
CmSI0939	48.207	E
CmSNP00249	48.51	E
CmSI0606	48.618	E
CmSNP00166	49.267	E
CmSNP01320	50.057	E
CmSI0761	50.204	E
CmSNP01343	50.535	E
CmSNP00158	50.695	E
CmSI0321	50.756	E
CmSNP00422	50.914	E
CmSNP01415	51.029	E
CmSNP01364	51.29	E
CmSI0076	51.407	E
CmSNP00650	51.678	E
CmSNP01515	51.907	E
CmSNP01131	51.939	E
CmSNP00140	52.218	E
CmSNP00715	52.242	E
CmSNP00984	52.505	E
CmSI0883	52.677	E
CmSNP00239	52.855	E
CmSI0870	53.009	E
CmSI0829	53.283	E
CmSI0035	53.522	E
CmSI0908	53.727	E
CmSNP00957	54.269	E
CmSNP00273	55.106	E
CmSNP00349	55.162	E
CmSI0558	55.582	E
CmSNP00227	55.797	E
CmSNP00955	55.915	E
CmSNP01034	55.919	E
CmSNP00505	56.312	E
CmSNP00271	56.572	E
CmSI0396	57.17	E
CmSNP01458	57.294	E
CmSI0886	57.832	E
CmSI0681	58.166	E
CmSNP01331	58.181	E
CmSNP01499	59.146	E
CmSI0887	60.045	E
CmSNP01222	60.915	E
CCallv2c2787_337	63.366	E
CmSNP01444	64.388	E
CmSNP01143	65.091	E
CCallv2c8764_1107	66.895	E
CCallv2c6223_361	67.172	E
CCallv2c6557_1061	67.272	E
CmSNP01486	67.993	E
CCallv2c45851_3017	68.408	E
CmSNP01057	68.596	E
CCallv2c41074_949	68.928	E
CmSNP00859	69.538	E
CCallv2c39000_1745	69.877	E
CCallv2c42257_975	70.999	E
CCallv2c40480_1388	71.743	E
CCallv2c9445_266	71.891	E
CCallv2c7428_304	71.907	E
CCallv2c3714_204	72.51	E
CCallv2c7802_595	73.693	E
CCallv2c47584_257	73.895	E
CCallv2c9087_607	76.215	E
CCallv2c18947_1461	76.881	E
CCallv2c40128_1056	77.772	E
CCallv2c48018_237	78.051	E
CCallv2c7748_2169	79.879	E
CCallv2c11676_1451	80.186	E
CCallv2c45206_468	83.243	E
CCallv2c3875_1113	84.091	E
CCallv2c8687_1741	85.713	E
CCallv2c47965_534	86.029	E
CCallv2c20264_1147	86.329	E
CCallv2c24859_241	0	F
CCallv2c22391_844	9.33	F
CCallv2c15696_626	13.306	F
CCallv2c11565_2077	15.323	F
CmSNP00427	19.931	F
CmSNP00825	21.319	F
CmSNP01217	21.549	F
CmSNP00045	24.421	F
CmSI0930	25.012	F
CmSNP00504	25.924	F
CmSNP01368	27.142	F
CmSNP01534	27.671	F
CmSNP00350	29.028	F
CmSNP00015	29.871	F
CmSNP01201	31.956	F
CmSNP00963	33.843	F
CmSI0527	34.017	F
CmSNP01195	34.374	F
CmSNP00295	34.771	F
CmSI0934	35.166	F
CmSI0627	35.771	F
CmSNP01220	36.772	F
CmSNP00296	37.654	F
CmSI0724	38.105	F
CmSNP00011	38.381	F
CmSI0795	38.651	F
CmSNP00515	38.802	F
CmSNP01362	39.448	F
CmSNP00510	40.096	F
CmSNP01523	40.211	F
CmSNP00982	40.273	F
CmSNP00541	40.794	F
CmSNP00294	41.074	F
CmSNP00746	41.719	F
CmSNP01115	42.732	F
CmSNP00084	42.859	F
CmSI0330	42.872	F
CmSNP00161	43.061	F
CmSI0888	43.328	F
CmSNP00688	44.067	F
CmSI0507	44.278	F
CCallv2c2791_289	44.856	F
CmSNP00896	44.897	F
CmSI0477	45.241	F
CmSNP01296	45.331	F
CmSNP01105	45.815	F
CmSNP00025	45.868	F
CmSI0679	46.181	F
CmSNP00749	46.451	F
CmSNP00167	48.171	F
CmSNP00772	48.458	F
CmSI0781	49.024	F
CmSI0777	49.773	F
CmSNP01445	50.133	F
CmSNP00723	50.53	F
CmSNP00306	53.214	F
CmSI0856	53.53	F
CmSNP00592	54.885	F
CmSNP01200	56.366	F
CmSNP00475	57.345	F
CmSI0085	57.667	F
CmSNP01509	58.917	F
CmSI0894_b	59.972	F
CCallv2c14318_618	60.498	F
CCallv2c1978_574	60.601	F
CmSNP01082	60.743	F
CmSNP00121	61.358	F
CmSNP00237	64	F
CmSNP01313	65.827	F
CmSNP01023	66.538	F
CCallv2c45_587	67.939	F
CCallv2c35255_640	68.706	F
CmSNP01333	72.433	F
CmSNP01469	74.354	F
CmSNP00301	79.241	F
CCallv2c28687_255	86.325	F
CCallv2c11818_972	0	G
CCallv2c45189_1267	12.149	G
CCallv2c14252_1840	20.876	G
CCallv2c39202_1144	28.665	G
CCallv2c39202_1087	28.883	G
CCallv2c41428_985	32.028	G
CCallv2c4176_203	32.031	G
CCallv2c14707_451	38.215	G
CCallv2c40042_716	38.485	G
CCallv2c40309_838	38.839	G
CmSNP01155	38.933	G
CCallv2c41807_1617	39.239	G
CCallv2c13932_203	39.464	G
CCallv2c39260_506	39.534	G
CCallv2c7500_73	39.694	G
CCallv2c46628_972	39.976	G
CCallv2c19025_360	40.513	G
CCallv2c38867_1938	40.596	G
CCallv2c2234_1295	40.812	G
CCallv2c2200_1053	41.708	G
CCallv2c46642_1599	47.462	G
CmSNP01440	51.316	G
CmSNP00582	54.69	G
CmSI0717	55.245	G
CmSNP01477	55.99	G
CmSNP00341	56.105	G
CmSNP00185	56.18	G
CmSNP00209	57.118	G
CmSNP00238	57.302	G
CmSNP00574	57.381	G
CmSNP00528	57.564	G
CmSNP01259	57.695	G
CmSI0430	57.831	G
CmSNP00944	58.069	G
CmSNP00823	58.092	G
CmSNP00849	58.179	G
CmSNP00988	58.79	G
CmSNP00150	59.223	G
CmSNP00920	59.223	G
CmSNP00217	59.576	G
CmSNP01350	59.805	G
CmSI0605	61.862	G
CmSNP01108	62.273	G
CmSI0003	62.345	G
CmSNP00672	62.355	G
CmSNP01355	62.536	G
CmSNP00415	62.583	G
CmSI0064	62.779	G
CmSI0614	62.869	G
CmSI0293	62.869	G
CmSNP00335	62.921	G
CmSI0576	62.934	G
CmSNP00700	62.958	G
CmSI0658	62.968	G
CmSNP00689	62.987	G
CmSNP00127	63.017	G
CmSI0816	63.417	G
CmSNP00411	63.496	G
CmSNP01295	63.887	G
CmSNP01412	64.672	G
CmSNP00913	65.236	G
CmSI0754	65.418	G
CmSI0925	66.355	G
CmSNP00997	68.276	G
CmSNP01408	68.481	G
CmSNP01091	70.463	G
CmSNP00106	70.652	G
CmSNP01450	71.833	G
CmSNP00435	72.099	G
CmSI0702	72.824	G
CmSNP00529	76.191	G
CmSI0007	78.028	G
CmSI0693	82.171	G
CmSNP00250	85.16	G
CmSI0691	85.811	G
CmSI0367	86.743	G
CmSI0830	90.516	G
CmSNP00287	94.508	G
CmSNP00406	94.959	G
CmSNP00067	95.521	G
CmSNP00925	95.602	G
CmSNP00231	97.113	G
CCallv2c42653_1440	0	H
CCallv2c5105_1355	14.251	H
CCallv2c12141_275	16.504	H
CCallv2c48281_1149	17.945	H
CCallv2c3528_1630	21.295	H
CCallv2c15890_693	23.892	H
CCallv2c42916_255	24.72	H
CCallv2c30865_405	25.508	H
CCallv2c15709_1953	25.923	H
CCallv2c12602_803	25.924	H
CCallv2c7652_731	26.086	H
CCallv2c16662_2174	28.067	H
CCallv2c43536_613	28.125	H
CCallv2c11518_287	28.128	H
CCallv2c12953_386	31.085	H
CCallv2c7991_1269	31.431	H
CmSNP00193	38.087	H
CmSNP00188	38.158	H
CmSNP00530	39.783	H
CmSNP00091	39.836	H
CmSNP01120	40.253	H
CmSNP01087	40.253	H
CmSI0831	40.424	H
CmSNP00820	40.582	H
CmSNP00054	41.203	H
CmSNP01233	41.496	H
CmSI0272	41.714	H
CmSNP00257	41.826	H
CmSI0660	41.894	H
CmSNP00053	42.648	H
CmSNP01254	42.717	H
CmSNP00741	42.763	H
CmSI0588	43.267	H
CmSI0696	43.407	H
CmSNP01110	44.098	H
CmSNP01344	44.27	H
CmSNP00107	44.736	H
CmSNP01117	44.736	H
CmSNP00099	44.739	H
CmSNP00243	44.74	H
CmSNP01232	44.953	H
CmSI0531	46.144	H
CmSI0532	46.241	H
CmSNP00789	46.447	H
CmSNP00721	46.673	H
CmSNP00687	46.795	H
CmSI0940	46.992	H
CmSI0490	47.264	H
CmSNP01341	47.332	H
CmSI0549	48.358	H
CmSNP01322	48.894	H
CmSNP00404	49.382	H
CmSI0594	49.945	H
CmSI0591	50.342	H
CmSI0381	50.662	H
CmSI0905 	51.314	H
CmSNP00208	51.773	H
CmSI0834	51.908	H
CmSNP00887	52.063	H
CmSNP00808	52.435	H
CmSNP01329	52.58	H
CmSNP00312	52.67	H
CmSNP00481	52.706	H
CmSNP01008	52.782	H
CmSNP00088	52.902	H
CmSNP00683	52.902	H
CmSNP01107	52.961	H
CmSNP00080	53.392	H
CmSI0083	53.829	H
CmSNP00503	53.835	H
CmSNP01047	54.34	H
CmSNP00383	54.9	H
CmSNP00870	55.319	H
CmSNP01218	55.741	H
CmSI0031	56.526	H
CmSNP00916	56.682	H
CmSNP00141	56.784	H
CmSI0596	56.866	H
CmSNP01093	57.703	H
CmSNP00062	58.31	H
CmSNP00837	58.373	H
CmSI0551	58.723	H
CmSNP00225	60.474	H
CmSNP01373	61.152	H
CmSI0750	63.094	H
CmSI0705	63.93	H
CmSNP01393	64.042	H
CmSNP01518	64.336	H
CmSNP00947	64.352	H
CmSNP00332	69.183	H
CmSNP01354	69.222	H
CmSI0849	69.854	H
CmSI0686	71.556	H
CmSNP00491	72.523	H
CmSI0848	72.789	H
CmSNP00028	73.227	H
CmSI0710	73.972	H
CmSNP00343	74.545	H
CmSNP01013	74.545	H
CmSNP00566	75.254	H
CmSNP00007	75.959	H
CmSI0589	78.081	H
CmSNP00931	80.071	H
CmSNP01227	80.285	H
CmSI0224	81.124	H
CmSI0437	82.9	H
CCallv2c7967_579	83.378	H
CCallv2c25028_1833	90.472	H
CmSNP01514	90.872	H
CmSI0556	91.137	H
CmSI0680	91.558	H
CmSI0028	93.068	H
CmSNP00325	93.396	H
CmSI0680 	93.668	H
CmSNP01224	93.914	H
CCallv2c28606_263	0	I
CCallv2c47155_471	2.409	I
CCallv2c6471_493	8.017	I
CCallv2c10295_1292	20.657	I
CCallv2c15079_1041	20.775	I
CCallv2c3840_1055	22.765	I
CCallv2c5220_301	23.365	I
CCallv2c45809_365	23.825	I
CCallv2c7969_477	24.637	I
CCallv2c3376_997	24.64	I
CCallv2c43378_448	24.809	I
CCallv2c39785_213	25.916	I
CCallv2c20501_1028	26.109	I
CCallv2c18276_918	26.451	I
CCallv2c39205_1206_a	27.696	I
CCallv2c46727_446	28.593	I
CCallv2c162_505	29.246	I
CCallv2c15126_665	29.444	I
CCallv2c3803_197	29.533	I
CCallv2c45668_807	29.724	I
CCallv2c39093_759	29.733	I
CCallv2c46131_420	29.808	I
CCallv2c5082_861	29.85	I
CCallv2c44566_563	30.121	I
CCallv2c15668_864	31.854	I
CCallv2c42073_299	32.018	I
CCallv2c46297_264	32.048	I
CCallv2c12074_435	32.627	I
CCallv2c39644_498	32.869	I
CCallv2c8793_1035	32.937	I
CCallv2c3269_538	33.626	I
CCallv2c42376_2298	37.175	I
CCallv2c18859_265	37.46	I
CmSNP00559	38.524	I
CCallv2c13651_571	39.463	I
CmSNP00676	39.672	I
CmSNP00872	40.292	I
CmSNP01345	40.997	I
CmSNP00568	41.564	I
CmSNP01015	41.758	I
CmSNP00876	42.988	I
CmSI0855	43.353	I
CmSNP00300	43.501	I
CmSI0517	44.284	I
CmSNP01299	44.425	I
CmSI0851	44.73	I
CmSNP01049	44.955	I
CmSNP01394	47.17	I
CmSNP01033	48.299	I
CmSNP01210	48.944	I
CmSNP00143	49.061	I
CmSNP00252	49.889	I
CmSNP00170	50.204	I
CmSNP01491	50.206	I
CmSNP00183	50.478	I
CmSI0024	50.639	I
CmSNP00149	51.086	I
CmSNP00546	52.133	I
CmSNP00456	53.193	I
CmSNP00089	53.549	I
CmSNP01123	54.415	I
CmSI0526	54.442	I
CmSNP00081	54.558	I
CmSNP00778	54.666	I
CmSNP00641	55.04	I
CmSNP01111	55.06	I
CmSNP00162	55.225	I
CmSNP01273	55.823	I
CmSNP01190	56.141	I
CmSI0539	56.607	I
CmSNP01482	56.919	I
CmSNP00900	57.422	I
CmSI0762	57.56	I
CmSNP00302	57.646	I
CmSNP00313	58.073	I
CmSI0362	58.378	I
CmSNP00706	58.395	I
CmSNP00078	58.431	I
CmSNP00103	58.446	I
CmSI0513	58.576	I
CmSI0564_a	58.8	I
CmSNP00270	59.212	I
CmSNP01159	59.592	I
CmSNP00196	59.761	I
CmSNP01284	60.234	I
CmSI0745_a	60.725	I
