"","Chestnut_contig","gene_number"
"290","contig0000368",17
"291","contig0000369",15
"292","contig0000370",13
"293","contig0000371",22
"294","contig0000372",21
"295","contig0000373",24
"296","contig0000375",10
"297","contig0000377",12
"298","contig0000380",17
"299","contig0000381",20
"300","contig0000382",12
"301","contig0000383",14
"302","contig0000384",22
"303","contig0000385",11
"304","contig0000386",21
"305","contig0000387",15
"306","contig0000388",17
"307","contig0000389",23
"308","contig0000390",13
"309","contig0000394",11
"310","contig0000395",17
"311","contig0000396",26
"312","contig0000397",18
"313","contig0000398",28
"314","contig0000399",14
"315","contig0000400",22
"316","contig0000401",19
"317","contig0000402",21
"318","contig0000403",15
"319","contig0000405",5
"320","contig0000406",16
"321","contig0000407",14
"322","contig0000409",6
"323","contig0000410",6
"324","contig0000412",9
"325","contig0000413",12
"326","contig0000414",11
"327","contig0000416",11
"328","contig0000417",21
"329","contig0000418",8
"330","contig0000420",12
"331","contig0000421",25
"332","contig0000422",17
"333","contig0000423",15
"334","contig0000424",18
"335","contig0000425",13
"336","contig0000426",18
"337","contig0000427",26
"338","contig0000429",17
"339","contig0000430",16
"340","contig0000432",8
"341","contig0000433",13
"342","contig0000434",20
"343","contig0000436",12
"344","contig0000437",23
"345","contig0000438",19
"346","contig0000439",16
"347","contig0000440",9
"348","contig0000441",14
"349","contig0000442",19
"350","contig0000443",10
"351","contig0000444",12
"352","contig0000445",12
"353","contig0000446",10
"354","contig0000447",13
"355","contig0000448",11
"356","contig0000449",23
"357","contig0000450",19
"358","contig0000451",7
"359","contig0000452",16
"360","contig0000454",13
"361","contig0000455",14
"362","contig0000456",17
"363","contig0000457",18
"364","contig0000458",9
"365","contig0000459",20
"366","contig0000460",17
"367","contig0000462",15
"368","contig0000464",12
"369","contig0000465",24
"370","contig0000466",8
"371","contig0000467",9
"372","contig0000468",7
"373","contig0000469",16
"374","contig0000470",24
"375","contig0000471",23
"376","contig0000472",25
"377","contig0000473",12
"378","contig0000474",13
"379","contig0000475",13
"380","contig0000476",11
"381","contig0000477",18
"382","contig0000478",13
"383","contig0000479",17
"384","contig0000480",9
"385","contig0000482",1
"386","contig0000483",14
"387","contig0000484",17
"388","contig0000485",6
"389","contig0000486",18
"390","contig0000487",10
"391","contig0000488",10
"392","contig0000489",21
"393","contig0000490",11
"394","contig0000491",17
"395","contig0000492",15
"396","contig0000493",17
"397","contig0000494",18
"398","contig0000495",17
"399","contig0000496",11
"400","contig0000497",11
"401","contig0000498",17
"402","contig0000499",12
"403","contig0000500",22
"404","contig0000501",15
"405","contig0000502",24
"406","contig0000503",16
"407","contig0000505",12
"408","contig0000506",10
"409","contig0000507",15
"410","contig0000508",13
"411","contig0000509",23
"412","contig0000510",20
"413","contig0000511",12
"414","contig0000512",16
"415","contig0000513",17
"416","contig0000514",11
"417","contig0000515",12
"418","contig0000516",20
"419","contig0000517",10
"420","contig0000518",18
"421","contig0000519",20
"422","contig0000520",8
"423","contig0000521",9
"424","contig0000522",11
"425","contig0000523",20
"426","contig0000524",12
"427","contig0000525",11
"428","contig0000526",14
"429","contig0000527",13
"430","contig0000528",15
"431","contig0000529",15
"432","contig0000530",9
"433","contig0000531",3
"434","contig0000533",9
"435","contig0000534",7
"436","contig0000535",12
"437","contig0000536",15
"438","contig0000537",14
"439","contig0000538",9
"440","contig0000539",10
"441","contig0000540",12
"442","contig0000541",11
"443","contig0000542",21
"444","contig0000544",12
"445","contig0000545",12
"446","contig0000547",11
"447","contig0000548",7
"448","contig0000549",18
"449","contig0000550",13
"450","contig0000551",16
"451","contig0000552",10
"452","contig0000553",13
"453","contig0000554",14
"454","contig0000555",16
"455","contig0000556",11
"456","contig0000557",22
"457","contig0000558",16
"458","contig0000559",13
"459","contig0000560",16
"460","contig0000561",18
"461","contig0000562",17
"462","contig0000564",21
"463","contig0000565",23
"464","contig0000566",14
"465","contig0000567",14
"466","contig0000568",15
"467","contig0000569",15
"468","contig0000571",14
"469","contig0000572",5
"470","contig0000573",19
"471","contig0000574",15
"472","contig0000575",15
"473","contig0000576",13
"474","contig0000578",16
"475","contig0000579",15
"476","contig0000580",8
"477","contig0000581",14
"478","contig0000582",5
"479","contig0000584",11
"480","contig0000585",17
"481","contig0000586",13
"482","contig0000587",9
"483","contig0000588",14
"484","contig0000590",14
"485","contig0000591",6
"486","contig0000592",15
"487","contig0000594",18
"488","contig0000595",18
"489","contig0000596",7
"490","contig0000599",17
"491","contig0000600",14
"492","contig0000601",10
"493","contig0000602",16
"494","contig0000603",11
"495","contig0000604",14
"496","contig0000605",21
"497","contig0000606",11
"498","contig0000607",13
"499","contig0000608",16
"500","contig0000609",15
"501","contig0000610",14
"502","contig0000611",19
"503","contig0000612",17
"504","contig0000613",13
"505","contig0000614",8
"506","contig0000615",25
"507","contig0000616",15
"508","contig0000617",3
"509","contig0000618",21
"510","contig0000619",7
"511","contig0000620",14
"512","contig0000622",16
"513","contig0000623",10
"514","contig0000624",9
"515","contig0000625",13
"516","contig0000626",3
"517","contig0000627",13
"518","contig0000628",19
"519","contig0000629",18
"520","contig0000630",15
"521","contig0000632",20
"522","contig0000633",19
"523","contig0000634",17
"524","contig0000635",15
"525","contig0000636",7
"526","contig0000637",17
"527","contig0000638",13
"528","contig0000639",15
"529","contig0000640",15
"530","contig0000641",17
"531","contig0000642",12
"532","contig0000643",14
"533","contig0000644",3
"534","contig0000645",19
"535","contig0000646",17
"536","contig0000647",13
"537","contig0000648",15
"538","contig0000649",17
"539","contig0000650",11
"540","contig0000651",2
"541","contig0000652",21
"542","contig0000653",8
"543","contig0000656",5
"544","contig0000658",6
"545","contig0000659",12
"546","contig0000660",18
"547","contig0000661",14
"548","contig0000662",18
"549","contig0000663",13
"550","contig0000664",15
"551","contig0000666",18
"552","contig0000667",13
"553","contig0000668",13
"554","contig0000669",14
"555","contig0000670",12
"556","contig0000671",13
"557","contig0000672",16
"558","contig0000673",9
"559","contig0000674",9
"560","contig0000675",6
"561","contig0000676",16
"562","contig0000677",17
"563","contig0000678",14
"564","contig0000679",5
"565","contig0000680",11
"566","contig0000681",13
"567","contig0000682",12
"568","contig0000684",14
"569","contig0000686",11
"570","contig0000687",16
"571","contig0000688",7
"572","contig0000689",8
"573","contig0000690",14
"574","contig0000691",18
"575","contig0000692",17
"576","contig0000693",15
"577","contig0000695",13
"578","contig0000696",13
"579","contig0000698",14
"580","contig0000699",11
"581","contig0000700",4
"582","contig0000702",14
"583","contig0000703",17
"584","contig0000705",16
"585","contig0000707",6
"586","contig0000708",19
"587","contig0000709",12
"588","contig0000710",10
"589","contig0000711",14
"590","contig0000712",15
"591","contig0000713",9
"592","contig0000715",21
"593","contig0000716",8
"594","contig0000717",11
"595","contig0000718",13
"596","contig0000719",17
"597","contig0000720",17
"598","contig0000721",12
"599","contig0000722",13
"600","contig0000723",13
"601","contig0000724",15
"602","contig0000725",14
"603","contig0000727",10
"604","contig0000729",10
"605","contig0000730",13
"606","contig0000732",9
"607","contig0000733",16
"608","contig0000734",16
"609","contig0000735",11
"610","contig0000737",8
"611","contig0000738",18
"612","contig0000739",16
"613","contig0000740",13
"614","contig0000741",11
"615","contig0000742",13
"616","contig0000744",16
"617","contig0000745",12
"618","contig0000746",6
"619","contig0000747",13
"620","contig0000748",21
"621","contig0000749",19
"622","contig0000750",11
"623","contig0000751",13
"624","contig0000752",14
"625","contig0000753",11
"626","contig0000754",10
"627","contig0000755",14
"628","contig0000756",11
"629","contig0000757",14
"630","contig0000758",14
"631","contig0000759",12
"632","contig0000760",15
"633","contig0000761",10
"634","contig0000762",12
"635","contig0000764",11
"636","contig0000765",7
"637","contig0000766",9
"638","contig0000767",14
"639","contig0000768",9
"640","contig0000769",14
"641","contig0000770",17
"642","contig0000771",17
"643","contig0000772",15
"644","contig0000773",8
"645","contig0000774",13
"646","contig0000775",12
"647","contig0000776",17
"648","contig0000779",15
"649","contig0000780",9
"650","contig0000781",13
"651","contig0000782",19
"652","contig0000783",15
"653","contig0000784",19
"654","contig0000785",9
"655","contig0000786",19
"656","contig0000787",11
"657","contig0000788",9
"658","contig0000789",9
"659","contig0000790",10
"660","contig0000791",16
"661","contig0000792",13
"662","contig0000793",14
"663","contig0000794",18
"664","contig0000795",22
"665","contig0000796",13
"666","contig0000798",19
"667","contig0000799",8
"668","contig0000800",20
"669","contig0000801",9
"670","contig0000802",15
"671","contig0000803",10
"672","contig0000804",13
"673","contig0000805",13
"674","contig0000806",17
"675","contig0000807",6
"676","contig0000808",7
"677","contig0000809",13
"678","contig0000810",9
"679","contig0000811",17
"680","contig0000812",17
"681","contig0000813",17
"682","contig0000814",14
"683","contig0000816",7
"684","contig0000817",11
"685","contig0000818",11
"686","contig0000819",19
"687","contig0000820",12
"688","contig0000821",14
"689","contig0000822",6
"690","contig0000823",10
"691","contig0000824",15
"692","contig0000825",6
"693","contig0000826",7
"694","contig0000827",7
"695","contig0000828",8
"696","contig0000829",13
"697","contig0000830",4
"698","contig0000831",18
"699","contig0000832",18
"700","contig0000833",11
"701","contig0000834",9
"702","contig0000835",11
"703","contig0000836",14
"704","contig0000837",14
"705","contig0000838",17
"706","contig0000839",15
"707","contig0000840",5
"708","contig0000841",5
"709","contig0000842",9
"710","contig0000843",10
"711","contig0000844",17
"712","contig0000845",15
"713","contig0000847",5
"714","contig0000849",11
"715","contig0000850",17
"716","contig0000851",9
"717","contig0000852",11
"718","contig0000853",15
"719","contig0000854",7
"720","contig0000855",19
"721","contig0000856",11
"722","contig0000857",12
"723","contig0000858",16
"724","contig0000859",9
"725","contig0000860",13
"726","contig0000861",13
"727","contig0000862",11
"728","contig0000863",8
"729","contig0000865",10
"730","contig0000867",11
"731","contig0000868",14
"732","contig0000869",14
"733","contig0000870",12
"734","contig0000871",7
"735","contig0000872",15
"736","contig0000873",12
"737","contig0000876",12
"738","contig0000877",12
"739","contig0000878",15
"740","contig0000879",13
"741","contig0000880",18
"742","contig0000881",11
"743","contig0000882",10
"744","contig0000883",12
"745","contig0000884",10
"746","contig0000885",14
"747","contig0000886",19
"748","contig0000887",11
"749","contig0000889",19
"750","contig0000891",6
"751","contig0000892",4
"752","contig0000894",8
"753","contig0000896",7
"754","contig0000897",6
"755","contig0000898",14
"756","contig0000899",5
"757","contig0000900",14
"758","contig0000902",6
"759","contig0000903",14
"760","contig0000904",12
"761","contig0000906",7
"762","contig0000907",11
"763","contig0000908",15
"764","contig0000909",10
"765","contig0000910",5
"766","contig0000911",18
"767","contig0000912",7
"768","contig0000913",8
"769","contig0000914",10
"770","contig0000915",12
"771","contig0000916",11
"772","contig0000917",7
"773","contig0000918",13
"774","contig0000919",10
"775","contig0000920",11
"776","contig0000921",15
"777","contig0000922",7
"778","contig0000923",8
"779","contig0000924",13
"780","contig0000926",8
"781","contig0000927",13
"782","contig0000928",13
"783","contig0000929",10
"784","contig0000930",11
"785","contig0000931",8
"786","contig0000933",10
"787","contig0000934",19
"788","contig0000935",15
"789","contig0000936",6
"790","contig0000938",12
"791","contig0000939",14
"792","contig0000940",8
"793","contig0000941",6
"794","contig0000942",12
"795","contig0000943",16
"796","contig0000944",8
"797","contig0000945",18
"798","contig0000946",8
"799","contig0000947",8
"800","contig0000948",12
"801","contig0000949",13
"802","contig0000950",13
"803","contig0000951",8
"804","contig0000952",23
"805","contig0000955",7
"806","contig0000956",13
"807","contig0000957",16
"808","contig0000958",26
"809","contig0000959",14
"810","contig0000960",16
"811","contig0000961",12
"812","contig0000962",14
"813","contig0000963",12
"814","contig0000964",13
"815","contig0000965",16
"816","contig0000966",6
"817","contig0000967",7
"818","contig0000968",19
"819","contig0000969",9
"820","contig0000970",7
"821","contig0000971",9
"822","contig0000972",12
"823","contig0000974",8
"824","contig0000975",8
"825","contig0000976",13
"826","contig0000977",8
"827","contig0000978",13
"828","contig0000979",17
"829","contig0000980",17
"830","contig0000981",15
"831","contig0000982",2
"832","contig0000983",9
"833","contig0000984",11
"834","contig0000985",13
"835","contig0000986",17
"836","contig0000987",13
"837","contig0000988",10
"838","contig0000989",13
"839","contig0000990",8
"840","contig0000991",11
"841","contig0000992",7
"842","contig0000993",7
"843","contig0000994",12
"844","contig0000995",19
"845","contig0000996",9
"846","contig0000997",15
"847","contig0000998",9
"848","contig0000999",11
"849","contig0001000",10
"850","contig0001001",11
"851","contig0001002",5
"852","contig0001003",5
"853","contig0001004",11
"854","contig0001005",10
"855","contig0001006",14
"856","contig0001007",8
"857","contig0001009",8
"858","contig0001010",11
"859","contig0001011",11
"860","contig0001012",12
"861","contig0001013",10
"862","contig0001015",9
"863","contig0001017",8
"864","contig0001018",17
"865","contig0001019",9
"866","contig0001020",8
"867","contig0001022",8
"868","contig0001023",17
"869","contig0001024",12
"870","contig0001025",11
"871","contig0001026",8
"872","contig0001027",12
"873","contig0001028",8
"874","contig0001029",12
"875","contig0001030",11
"876","contig0001031",16
"877","contig0001032",11
"878","contig0001033",10
"879","contig0001034",9
"880","contig0001035",6
"881","contig0001036",16
"882","contig0001037",13
"883","contig0001038",9
"884","contig0001039",5
"885","contig0001040",5
"886","contig0001041",13
"887","contig0001042",19
"888","contig0001043",18
"889","contig0001044",13
"890","contig0001045",8
"891","contig0001046",8
"892","contig0001047",11
"893","contig0001048",12
"894","contig0001049",9
"895","contig0001050",15
"896","contig0001051",6
"897","contig0001052",7
"898","contig0001053",17
"899","contig0001054",9
"900","contig0001055",6
"901","contig0001056",11
"902","contig0001057",13
"903","contig0001058",13
"904","contig0001059",13
"905","contig0001060",8
"906","contig0001061",8
"907","contig0001062",12
"908","contig0001063",4
"909","contig0001064",11
"910","contig0001065",6
"911","contig0001066",11
"912","contig0001067",9
"913","contig0001068",11
"914","contig0001069",12
"915","contig0001070",3
"916","contig0001071",6
"917","contig0001072",12
"918","contig0001073",11
"919","contig0001074",9
"920","contig0001075",11
"921","contig0001076",7
"922","contig0001077",12
"923","contig0001078",10
"924","contig0001079",8
"925","contig0001080",4
"926","contig0001082",14
"927","contig0001083",17
"928","contig0001084",10
"929","contig0001085",10
"930","contig0001086",14
"931","contig0001087",11
"932","contig0001088",12
"933","contig0001089",14
"934","contig0001090",11
"935","contig0001091",16
"936","contig0001092",10
"937","contig0001093",10
"938","contig0001094",8
"939","contig0001095",7
"940","contig0001096",12
"941","contig0001097",15
"942","contig0001099",8
"943","contig0001100",7
"944","contig0001101",12
"945","contig0001102",13
"946","contig0001103",10
"947","contig0001104",9
"948","contig0001105",10
"949","contig0001106",10
"950","contig0001107",7
"951","contig0001108",15
"952","contig0001109",6
"953","contig0001110",11
"954","contig0001111",6
"955","contig0001112",9
"956","contig0001113",15
"957","contig0001114",19
"958","contig0001115",7
"959","contig0001116",14
"960","contig0001117",6
"961","contig0001118",12
"962","contig0001119",9
"963","contig0001120",8
"964","contig0001121",6
"965","contig0001122",5
"966","contig0001123",2
"967","contig0001124",16
"968","contig0001125",9
"969","contig0001126",9
"970","contig0001127",6
"971","contig0001128",14
"972","contig0001129",7
"973","contig0001130",12
"974","contig0001131",5
"975","contig0001132",10
"976","contig0001133",4
"977","contig0001134",6
"978","contig0001136",12
"979","contig0001137",9
"980","contig0001138",11
"981","contig0001139",6
"982","contig0001140",10
"983","contig0001141",9
"984","contig0001142",12
"985","contig0001143",12
"986","contig0001144",10
"987","contig0001145",10
"988","contig0001146",15
"989","contig0001147",10
"990","contig0001148",6
"991","contig0001149",12
"992","contig0001150",11
"993","contig0001151",7
"994","contig0001152",16
"995","contig0001153",17
"996","contig0001154",8
"997","contig0001155",12
"998","contig0001156",10
"999","contig0001157",16
"1000","contig0001158",6
"1001","contig0001159",17
"1002","contig0001160",5
"1003","contig0001161",11
"1004","contig0001162",10
"1005","contig0001163",7
"1006","contig0001164",7
"1007","contig0001165",8
"1008","contig0001166",23
"1009","contig0001167",13
"1010","contig0001168",8
"1011","contig0001172",11
"1012","contig0001173",6
"1013","contig0001174",5
"1014","contig0001175",4
"1015","contig0001176",13
"1016","contig0001177",12
"1017","contig0001178",7
"1018","contig0001179",10
"1019","contig0001180",13
"1020","contig0001181",11
"1021","contig0001182",13
"1022","contig0001183",12
"1023","contig0001184",12
"1024","contig0001185",16
"1025","contig0001186",6
"1026","contig0001187",12
"1027","contig0001188",13
"1028","contig0001189",10
"1029","contig0001190",16
"1030","contig0001191",15
"1031","contig0001192",12
"1032","contig0001193",6
"1033","contig0001195",14
"1034","contig0001196",11
"1035","contig0001197",15
"1036","contig0001198",20
"1037","contig0001199",10
"1038","contig0001200",11
"1039","contig0001201",10
"1040","contig0001202",9
"1041","contig0001203",16
"1042","contig0001204",2
"1043","contig0001205",8
"1044","contig0001206",9
"1045","contig0001207",12
"1046","contig0001208",17
"1047","contig0001209",5
"1048","contig0001210",14
"1049","contig0001211",18
"1050","contig0001212",10
"1051","contig0001213",9
"1052","contig0001215",7
"1053","contig0001216",11
"1054","contig0001217",11
"1055","contig0001218",11
"1056","contig0001219",11
"1057","contig0001220",11
"1058","contig0001221",19
"1059","contig0001222",20
"1060","contig0001223",10
"1061","contig0001225",11
"1062","contig0001226",4
"1063","contig0001227",4
"1064","contig0001228",7
"1065","contig0001229",3
"1066","contig0001230",11
"1067","contig0001231",7
"1068","contig0001232",8
"1069","contig0001233",10
"1070","contig0001234",15
"1071","contig0001235",11
"1072","contig0001236",11
"1073","contig0001237",10
"1074","contig0001238",8
"1075","contig0001239",7
"1076","contig0001240",6
"1077","contig0001241",18
"1078","contig0001242",9
"1079","contig0001243",4
"1080","contig0001244",9
"1081","contig0001245",11
"1082","contig0001246",17
"1083","contig0001247",7
"1084","contig0001248",8
"1085","contig0001249",9
"1086","contig0001250",9
"1087","contig0001251",15
"1088","contig0001252",13
"1089","contig0001253",4
"1090","contig0001254",14
"1091","contig0001255",17
"1092","contig0001256",2
"1093","contig0001257",8
"1094","contig0001259",10
"1095","contig0001260",14
"1096","contig0001261",11
"1097","contig0001262",9
"1098","contig0001263",5
"1099","contig0001264",9
"1100","contig0001266",11
"1101","contig0001267",11
"1102","contig0001268",18
"1103","contig0001269",15
"1104","contig0001270",5
"1105","contig0001271",8
"1106","contig0001272",7
"1107","contig0001273",14
"1108","contig0001274",16
"1109","contig0001275",6
"1110","contig0001276",13
"1111","contig0001277",15
"1112","contig0001278",9
"1113","contig0001279",10
"1114","contig0001280",14
"1115","contig0001282",7
"1116","contig0001283",16
"1117","contig0001284",9
"1118","contig0001285",12
"1119","contig0001286",8
"1120","contig0001287",11
"1121","contig0001288",23
"1122","contig0001289",16
"1123","contig0001290",9
"1124","contig0001291",10
"1125","contig0001292",6
"1126","contig0001293",10
"1127","contig0001294",9
"1128","contig0001295",8
"1129","contig0001296",5
"1130","contig0001297",7
"1131","contig0001298",2
"1132","contig0001299",12
"1133","contig0001300",3
"1134","contig0001301",7
"1135","contig0001302",15
"1136","contig0001303",16
"1137","contig0001304",9
"1138","contig0001305",8
"1139","contig0001306",12
"1140","contig0001307",11
"1141","contig0001308",14
"1142","contig0001309",6
"1143","contig0001310",9
"1144","contig0001311",11
"1145","contig0001312",7
"1146","contig0001313",8
"1147","contig0001314",7
"1148","contig0001316",16
"1149","contig0001318",14
"1150","contig0001319",5
"1151","contig0001320",16
"1152","contig0001321",8
"1153","contig0001322",5
"1154","contig0001323",9
"1155","contig0001324",13
"1156","contig0001325",12
"1157","contig0001326",14
"1158","contig0001327",11
"1159","contig0001328",8
"1160","contig0001329",13
"1161","contig0001330",7
"1162","contig0001331",7
"1163","contig0001332",15
"1164","contig0001333",8
"1165","contig0001335",10
"1166","contig0001336",9
"1167","contig0001337",9
"1168","contig0001338",13
"1169","contig0001339",6
"1170","contig0001340",10
"1171","contig0001341",10
"1172","contig0001342",12
"1173","contig0001343",9
"1174","contig0001344",9
"1175","contig0001345",3
"1176","contig0001346",12
"1177","contig0001347",12
"1178","contig0001348",7
"1179","contig0001349",14
"1180","contig0001350",5
"1181","contig0001351",6
"1182","contig0001352",11
"1183","contig0001353",13
"1184","contig0001354",13
"1185","contig0001355",8
"1186","contig0001356",6
"1187","contig0001357",18
"1188","contig0001358",11
"1189","contig0001360",5
"1190","contig0001361",6
"1191","contig0001362",10
"1192","contig0001363",4
"1193","contig0001364",9
"1194","contig0001365",11
"1195","contig0001366",3
"1196","contig0001367",6
"1197","contig0001368",7
"1198","contig0001369",9
"1199","contig0001370",10
"1200","contig0001371",5
"1201","contig0001372",12
"1202","contig0001373",9
"1203","contig0001374",7
"1204","contig0001375",5
"1205","contig0001376",7
"1206","contig0001377",3
"1207","contig0001378",7
"1208","contig0001379",7
"1209","contig0001380",8
"1210","contig0001381",14
"1211","contig0001382",13
"1212","contig0001383",11
"1213","contig0001384",7
"1214","contig0001385",13
"1215","contig0001386",1
"1216","contig0001387",12
"1217","contig0001388",10
"1218","contig0001389",7
"1219","contig0001390",9
"1220","contig0001391",8
"1221","contig0001392",5
"1222","contig0001393",14
"1223","contig0001394",8
"1224","contig0001395",5
"1225","contig0001396",6
"1226","contig0001397",5
"1227","contig0001398",5
"1228","contig0001399",4
"1229","contig0001400",7
"1230","contig0001401",8
"1231","contig0001402",8
"1232","contig0001403",11
"1233","contig0001404",15
"1234","contig0001405",6
"1235","contig0001406",9
"1236","contig0001407",3
"1237","contig0001408",8
"1238","contig0001409",7
"1239","contig0001410",4
"1240","contig0001411",10
"1241","contig0001412",4
"1242","contig0001413",5
"1243","contig0001414",6
"1244","contig0001415",5
"1245","contig0001416",1
"1246","contig0001418",9
"1247","contig0001419",8
