marker_name,LG,pos,Anchored_PhysicalMap,GO_function,GO_molecular
CmSNP01165 ,A ,56.6,Yes,Yes ,Yes
CmSNP00233 ,A ,56.9, ,Yes , 
CmSNP00787 ,A ,56.9, ,  , 
CmSNP00310 ,A ,57.2, ,  , 
CmSNP01316 ,A ,57.2,Yes,Yes , 
CmSI0742 ,A ,57.4,Yes,  , 
CmSNP00897 ,A ,58.4, ,  , 
CmSNP00992 ,A ,58.4, ,  , 
CmSI0818 ,A ,58.5, ,  , 
CmSI0514 ,A ,58.7,Yes,Yes , 
CmSI0315 ,A ,59,Yes,  , 
CmSNP00199 ,A ,59.2, ,  , 
CmSNP00771 ,A ,59.5,Yes,Yes , 
CmSNP00206 ,A ,59.7,Yes,Yes ,Yes
CmSNP00547 ,A ,59.7,Yes,Yes ,Yes
CmSNP01234 ,A ,59.9,Yes,Yes ,Yes
CmSNP01475 ,A ,59.9, ,  , 
CmSNP00519 ,A ,60.4,Yes,Yes ,Yes
CmSNP01328 ,A ,60.7,Yes,Yes ,Yes
CmSNP01351 ,A ,60.9, ,  , 
CmSNP00338 ,A ,61.2, ,  , 
CmSI0923 ,A ,61.3, ,  , 
CmSI0756 ,A ,61.5, ,Yes ,Yes
CmSNP01018 ,A ,61.7,Yes,Yes ,Yes
CmSNP00802 ,A ,63.4,Yes,Yes ,Yes
CmSI0365 ,A ,64.8,Yes,  , 
CmSNP00569 ,A ,64.9, ,  , 
CmSNP01267 ,A ,65.3, ,Yes ,Yes
CmSNP00315 ,A ,65.3, ,  , 
CmSNP00034 ,A ,65.6, ,Yes , 
CmSNP01005 ,A ,66.1,Yes,  , 
CmSI0247 ,A ,68.1,Yes,  , 
CmSNP00258 ,A ,70.1,Yes,  , 
CmSI0909 ,A ,73, ,Yes ,Yes
CmSNP00420 ,A ,73, ,Yes , 
CmSI0498 ,A ,73.8,Yes,  , 
CmSNP00345 ,A ,75.6, ,  , 
CmSNP01371 ,A ,75.9, ,  , 
CmSNP00155 ,A ,76.3,Yes,Yes , 
CmSNP00531 ,A ,78.3,Yes,Yes ,Yes
CmSNP01519 ,A ,79.1,Yes,Yes ,Yes
CmSI0769 ,A ,79.3,Yes,Yes ,Yes
CmSNP01400 ,A ,80.7,Yes,Yes ,Yes
CmSNP01181 ,A ,82.7, ,  , 
CmSNP01252 ,A ,86.5, ,  , 
CmSNP00254 ,A ,86.9, ,  , 
CmSNP00174 ,A ,88,Yes,  , 
CmSNP00969 ,A ,90.4, ,Yes , 
CmSNP00852 ,B ,0,Yes,  , 
CmSNP01511 ,B ,9.4,Yes,  , 
CmSI0941 ,B ,12.3,Yes,Yes ,Yes
CmSNP01261 ,B ,13.2,Yes,  , 
CmSNP01490 ,B ,13.8,Yes,Yes ,Yes
CmSNP01442 ,B ,14.9, ,  , 
CmSNP00912 ,B ,15.2, ,  , 
CmSI0899 ,B ,18.2, ,  , 
CmSNP01453 ,B ,18.8, ,  , 
CmSI0859 ,B ,20, ,Yes ,Yes
CmSNP00917 ,B ,20.2,Yes,  , 
CmSNP00372 ,B ,23.1,Yes,  , 
CmSI0533 ,B ,23.2,Yes,  , 
CmSNP01173 ,B ,23.6, ,  , 
CmSNP00623 ,B ,23.7, ,  , 
CmSI0682 ,B ,23.8, ,  , 
CmSNP00539 ,B ,23.9, ,Yes ,Yes
CmSNP00565 ,B ,27.9, ,  , 
CmSI0635 ,B ,28.4,Yes,Yes , 
CmSNP01479 ,B ,29.9, ,  , 
CmSNP00418 ,B ,30.9,Yes,  , 
CmSNP01154 ,B ,30.9,Yes,  , 
CmSNP00210 ,B ,31.8,Yes,  , 
CmSNP01527 ,B ,32.8,Yes,  , 
CmSI0049 ,B ,34.1,Yes,  , 
CmSI0766 ,B ,34.3, ,Yes , 
CmSNP01027 ,B ,34.4,Yes,  , 
CmSNP01370 ,B ,34.5, ,  , 
CmSNP00719 ,B ,35.6,Yes,Yes ,Yes
CmSNP00524 ,B ,36,Yes,  , 
CmSI0632 ,B ,36.9,Yes,Yes , 
CmSNP00945 ,B ,37.1, ,Yes ,Yes
CmSNP01315 ,B ,37.2,Yes,Yes ,Yes
CmSNP01323 ,B ,37.2, ,Yes ,Yes
CmSNP01281 ,B ,37.5,Yes,Yes ,Yes
CmSI0842 ,B ,37.7, ,  , 
CmSNP00756 ,B ,38.4, ,Yes ,Yes
CmSNP00927 ,B ,38.6,Yes,Yes , 
CmSNP00438 ,B ,38.7,Yes,Yes ,Yes
CmSI0631 ,B ,39.1, ,Yes , 
CmSI0565 ,B ,39.2,Yes,  , 
CmSNP00259 ,B ,39.3, ,Yes ,Yes
CmSNP01138 ,B ,39.3,Yes,Yes ,Yes
CmSNP01191 ,B ,39.3, ,Yes , 
CmSNP01430 ,B ,39.3,Yes,  , 
CmSI0495 ,B ,39.5,Yes,  , 
CmSNP00156 ,B ,40.9,Yes,  , 
CmSI0180 ,B ,41,Yes,  , 
CmSNP00990 ,B ,41.1,Yes,  , 
CmSNP00577 ,B ,41.2,Yes,  , 
CmSNP01002 ,B ,41.2,Yes,  , 
CmSNP00780 ,B ,41.3, ,  , 
CmSI0266 ,B ,41.4,Yes,  , 
CmSNP00304 ,B ,42.3, ,Yes ,Yes
CmSNP00004 ,B ,43,Yes,Yes , 
CmSNP00520 ,B ,43.1, ,  , 
CmSNP01380 ,B ,44.9, ,Yes ,Yes
CmSI0509 ,B ,45.1,Yes,  , 
CmSI0873 ,B ,45.9,Yes,Yes ,Yes
CmSNP01164 ,B ,46.8, ,  , 
CmSI0550 ,B ,48.8,Yes,  , 
CmSNP00051 ,B ,49.1,Yes,Yes ,Yes
CmSNP00779 ,B ,49.7,Yes,  , 
CmSNP00184 ,B ,50.3, ,Yes ,Yes
CmSNP00620 ,B ,50.4, ,Yes ,Yes
CmSNP00378 ,B ,50.4,Yes,  , 
CmSI0866 ,B ,50.5, ,  , 
CmSI0715 ,B ,51.7, ,  , 
CmSNP00889 ,B ,53.9, ,  , 
CmSNP00883 ,B ,54.9,Yes,Yes ,Yes
CmSNP00186 ,B ,54.9,Yes,Yes , 
CmSNP01063 ,B ,54.9,Yes,  , 
CmSNP00086 ,B ,55.8,Yes,  , 
CmSNP01338 ,B ,55.8,Yes,  , 
CmSI0823 ,B ,56, ,  , 
CmSNP00851 ,B ,56.2,Yes,  , 
CmSNP00758 ,B ,57,Yes,Yes , 
CmSNP00344 ,B ,61.5, ,Yes , 
CmSI0027 ,B ,61.9,Yes,  , 
CmSNP00400 ,B ,62.4, ,  , 
CmSNP01036 ,B ,62.6, ,  , 
CmSNP00567 ,B ,63,Yes,  , 
CmSNP00847 ,B ,63, ,  , 
CmSNP00645 ,B ,63.9,Yes,  , 
CmSNP00311 ,B ,64.9, ,  , 
CmSNP00854 ,B ,66.2,Yes,  , 
CmSNP01141 ,C ,0, ,Yes , 
CmSI0747 ,C ,1.8, ,Yes ,Yes
CmSNP00339 ,C ,4.4,Yes,  , 
CmSNP01476 ,C ,6.2,Yes,Yes ,Yes
CmSNP00616 ,C ,6.3, ,  , 
CmSI0763 ,C ,7.3, ,  , 
CmSNP00357 ,C ,7.7, ,  , 
CmSNP01532 ,C ,7.8,Yes,  , 
CmSNP01003 ,C ,11, ,  , 
CmSNP01030 ,C ,11.3, ,  , 
CmSNP00486 ,C ,11.6,Yes,  , 
CmSNP01508 ,C ,12,Yes,Yes ,Yes
CmSI0592 ,C ,14.6,Yes,  , 
CmSNP01021 ,C ,15.4,Yes,Yes , 
CmSNP01019 ,C ,16.7, ,  , 
CmSNP00223 ,C ,17.2,Yes,  , 
CmSNP01446 ,C ,17.3, ,Yes ,Yes
CmSNP00221 ,C ,17.4,Yes,  , 
CmSNP00998 ,C ,17.7, ,  , 
CmSNP00738 ,C ,17.9,Yes,  , 
CmSNP00523 ,C ,18.1,Yes,Yes ,Yes
CmSNP01466 ,C ,18.8,Yes,Yes , 
CmSNP00437 ,C ,19, ,Yes ,Yes
CmSI0223 ,C ,20.5, ,  , 
CmSNP00063 ,C ,21.3, ,Yes ,Yes
CmSNP00469 ,C ,21.3,Yes,Yes , 
CmSNP00697 ,C ,21.5, ,  , 
CmSI0574 ,C ,22.8,Yes,  , 
CmSNP00891 ,C ,23.1,Yes,  , 
CmSNP01053 ,C ,23.4, ,  , 
CmSNP00508 ,C ,23.8,Yes,  , 
CmSNP01416 ,C ,24.3,Yes,  , 
CmSNP01524 ,C ,24.3,Yes,Yes , 
CmSI0936 ,C ,24.5, ,  , 
CmSNP00814 ,C ,24.7, ,Yes , 
CmSNP00838 ,C ,24.7, ,  , 
CmSNP01121 ,C ,24.7, ,  , 
CmSI0918 ,C ,25,Yes,Yes ,Yes
CmSNP01289 ,C ,25,Yes,Yes ,Yes
CmSNP00914 ,C ,25,Yes,  , 
CmSNP01533 ,C ,25.2,Yes,  , 
CmSNP00717 ,C ,25.5,Yes,Yes ,Yes
CmSNP01071 ,C ,25.7, ,Yes , 
CmSI0392 ,C ,26.4,Yes,  , 
CmSNP00877 ,C ,29.1, ,  , 
CmSNP01067 ,C ,29.1, ,  , 
CmSNP00262 ,C ,29.2,Yes,  , 
CmSNP00194 ,C ,29.9,Yes,Yes ,Yes
CmSNP00365 ,C ,29.9,Yes,Yes ,Yes
CmSNP01241 ,C ,29.9, ,Yes ,Yes
CmSNP01366 ,C ,29.9,Yes,Yes ,Yes
CmSNP00180 ,C ,29.9,Yes,  , 
CmSNP00323 ,C ,29.9, ,  , 
CmSNP01429 ,C ,29.9,Yes,  , 
CmSI0725 ,C ,30.1,Yes,Yes ,Yes
CmSI0863 ,C ,30.1, ,  , 
CmSI0913 ,C ,30.4,Yes,Yes ,Yes
CmSI0741 ,C ,30.8, ,  , 
CmSNP00228 ,C ,31.1,Yes,  , 
CmSNP00016 ,C ,31.3,Yes,  , 
CmSNP00618 ,C ,31.3, ,Yes , 
CmSNP01078 ,C ,31.6, ,  , 
CmSI0727 ,C ,31.8, ,  , 
CmSI0776 ,C ,31.8, ,  , 
CmSNP00279 ,C ,32,Yes,  , 
CmSNP00659 ,C ,32.8,Yes,Yes , 
CmSNP00596 ,C ,32.9, ,  , 
CmSNP01287 ,C ,33.2, ,  , 
CmSI0559 ,C ,33.3,Yes,  , 
CmSNP01207 ,C ,33.5, ,  , 
CmSNP00280 ,C ,34.5, ,  , 
CmSNP01128 ,C ,35.9,Yes,  , 
CmSNP00039 ,C ,37.2,Yes,Yes , 
CmSNP01529 ,C ,40.8, ,Yes , 
CmSNP00307 ,C ,41.1, ,  , 
CmSNP01428 ,C ,41.8,Yes,Yes ,Yes
CmSNP00169 ,C ,44.4, ,  , 
CmSNP00698 ,C ,45,Yes,  , 
CmSNP01437 ,C ,46.3,Yes,  , 
CmSNP00587 ,C ,47.8,Yes,  , 
CmSNP00410 ,C ,48.3,Yes,Yes , 
CmSNP00337 ,C ,48.6, ,  , 
CmSI0832 ,C ,49.1, ,  , 
CmSNP00972 ,C ,51.1,Yes,Yes ,Yes
CmSNP00308 ,C ,53, ,Yes , 
CmSNP00673 ,C ,54.8,Yes,  , 
CmSNP00494 ,C ,55.6,Yes,Yes ,Yes
CmSNP00761 ,D ,0, ,  , 
CmSNP01130 ,D ,0,Yes,Yes , 
CmSNP00178 ,D ,0.4,Yes,Yes ,Yes
CmSNP00226 ,D ,0.8,Yes,Yes ,Yes
CmSNP00407 ,D ,2.2,Yes,Yes ,Yes
CmSNP00748 ,D ,3.3, ,Yes , 
CmSNP00429 ,D ,4.3, ,  , 
CmSI0622 ,D ,5.4,Yes,  , 
CmSNP00788 ,D ,6.5, ,Yes ,Yes
CmSNP00319 ,D ,6.7,Yes,  , 
CmSNP00617 ,D ,6.8, ,  , 
CmSNP00958 ,D ,6.9,Yes,  , 
CmSNP00363 ,D ,7.3,Yes,Yes , 
CmSNP01463 ,D ,7.8,Yes,  , 
CmSNP01395 ,D ,8.7, ,  , 
CmSNP00320 ,D ,9.8,Yes,  , 
CmSNP00863 ,D ,10, ,Yes , 
CmSNP01423 ,D ,10.3, ,Yes , 
CmSNP00601 ,D ,10.4, ,  , 
CmSNP00038 ,D ,10.5,Yes,Yes , 
CmSNP00409 ,D ,10.5, ,Yes , 
CmSI0426 ,D ,10.9,Yes,  , 
CmSI0810 ,D ,11.1, ,  , 
CmSNP00328 ,D ,11.9,Yes,Yes ,Yes
CmSNP00340 ,D ,13.4, ,  , 
CmSNP00722 ,D ,13.4, ,  , 
CmSNP00361 ,D ,13.9,Yes,  , 
CmSNP00384 ,D ,14.8, ,  , 
CmSNP01457 ,D ,15, ,  , 
CmSNP00426 ,D ,15.2,Yes,  , 
CmSNP01055 ,D ,15.2,Yes,  , 
CmSNP01531 ,D ,15.5,Yes,  , 
CmSNP01365 ,D ,16,Yes,  , 
CmSI0815 ,D ,16.8, ,  , 
CmSNP00718 ,D ,16.9, ,Yes ,Yes
CmSNP00895 ,D ,16.9,Yes,Yes ,Yes
CmSNP01348 ,D ,17.1,Yes,Yes ,Yes
CmSNP00786 ,D ,17.2, ,  , 
CmSI0013 ,D ,17.4,Yes,Yes , 
CmSNP00218 ,D ,17.8, ,  , 
CmSNP00439 ,D ,18.2,Yes,  , 
CmSNP00538 ,D ,18.2,Yes,  , 
CmSNP00123 ,D ,18.4, ,Yes ,Yes
CmSNP01225 ,D ,19, ,Yes , 
CmSNP00561 ,D ,19.3,Yes,  , 
CmSNP00959 ,D ,19.6,Yes,Yes ,Yes
CmSNP00451 ,D ,19.6,Yes,  , 
CmSNP00204 ,D ,19.7, ,  , 
CmSNP01387 ,D ,19.9, ,  , 
CmSNP00026 ,D ,20.7, ,  , 
CmSI0504 ,D ,21.6,Yes,  , 
CmSNP01198 ,D ,22, ,Yes , 
CmSNP00154 ,D ,23.5,Yes,Yes ,Yes
CmSNP00599 ,D ,23.5,Yes,  , 
CmSNP01062 ,D ,23.5, ,  , 
CmSNP01122 ,D ,23.5, ,Yes , 
CmSNP00020 ,D ,23.6,Yes,Yes , 
CmSNP00751 ,D ,24, ,  , 
CmSI0739 ,D ,24.2, ,  , 
CmSNP01271 ,D ,24.2,Yes,  , 
CmSNP00954 ,D ,24.5,Yes,  , 
CmSNP01505 ,D ,24.5, ,  , 
CmSNP01277 ,D ,24.9, ,  , 
CmSNP01126 ,D ,26.3, ,Yes , 
CmSNP01392 ,D ,27.1,Yes,  , 
CmSNP01306 ,D ,27.9,Yes,  , 
CmSNP00347 ,D ,29.8, ,Yes , 
CmSI0914 ,D ,29.9, ,Yes ,Yes
CmSNP00478 ,D ,30.6, ,  , 
CmSNP00114 ,D ,30.7,Yes,  , 
CmSI0835 ,D ,31.5, ,  , 
CmSNP00517 ,D ,31.6, ,Yes ,Yes
CmSNP00236 ,D ,31.6,Yes,Yes , 
CmSNP01487 ,D ,32.1,Yes,  , 
CmSI0935 ,D ,33.2,Yes,  , 
CmSNP00402 ,D ,33.5, ,  , 
CmSNP01342 ,D ,33.5,Yes,  , 
CmSNP00070 ,D ,35.1,Yes,  , 
CmSNP00172 ,D ,35.1,Yes,  , 
CmSI0646 ,D ,35.7,Yes,  , 
CmSNP01077 ,D ,36.1, ,  , 
CmSNP01411 ,D ,36.2, ,  , 
CmSNP00012 ,D ,36.3, ,Yes ,Yes
CmSNP00074 ,D ,37.3,Yes,  , 
CmSNP00289 ,D ,38.8,Yes,Yes ,Yes
CmSI0119 ,D ,39.5,Yes,  , 
CmSNP01174 ,D ,39.5,Yes,Yes , 
CmSNP00556 ,D ,43.5,Yes,Yes , 
CmSI0585 ,D ,44.3,Yes,Yes ,Yes
CmSNP00800 ,D ,45.4, ,Yes ,Yes
CmSNP00595 ,D ,45.9,Yes,  , 
CmSI0484 ,D ,46.6,Yes,Yes ,Yes
CmSNP00056 ,D ,48.6,Yes,Yes ,Yes
CmSNP00450 ,D ,48.8, ,Yes ,Yes
CmSI0601 ,D ,49.3, ,  , 
CmSI0602 ,D ,49.4,Yes,  , 
CmSI0931 ,D ,51.7, ,  , 
CmSI0689 ,D ,54.5, ,  , 
CmSI0688 ,D ,55.8, ,  , 
CmSNP00496 ,D ,57.7, ,  , 
CmSNP01520 ,E ,0,Yes,Yes ,Yes
CmSNP01317 ,E ,4.8,Yes,Yes , 
CmSI0945 ,E ,5.3,Yes,Yes ,Yes
CmSNP00886 ,E ,6.1,Yes,  , 
CmSNP00834 ,E ,6.5,Yes,Yes ,Yes
CmSNP00068 ,E ,7,Yes,Yes ,Yes
CmSNP01197 ,E ,8,Yes,Yes ,Yes
CmSI0944 ,E ,9.2,Yes,Yes ,Yes
CmSNP01378 ,E ,9.4, ,  , 
CmSI0011 ,E ,11.2,Yes,  , 
CmSI0380 ,E ,13.4,Yes,  , 
CmSNP00809 ,E ,13.9, ,  , 
CmSNP00671 ,E ,14.3,Yes,Yes ,Yes
CmSNP01038 ,E ,14.3,Yes,Yes ,Yes
CmSNP01056 ,E ,14.6,Yes,  , 
CmSNP00006 ,E ,14.9,Yes,  , 
CmSNP01363 ,E ,14.9, ,  , 
CmSNP00021 ,E ,15.5, ,  , 
CmSNP01106 ,E ,17.5,Yes,  , 
CmSNP00098 ,E ,18.7,Yes,Yes , 
CmSNP00950 ,E ,19,Yes,Yes , 
CmSNP00513 ,E ,19.1,Yes,  , 
CmSNP01031 ,E ,19.4,Yes,Yes ,Yes
CmSNP00880 ,E ,20.4,Yes,Yes ,Yes
CmSNP00214 ,E ,20.4,Yes,Yes , 
CmSNP00244 ,E ,20.6, ,Yes , 
CmSNP01522 ,E ,20.9, ,Yes , 
CmSNP00625 ,E ,21.1,Yes,  , 
CmSNP00921 ,E ,21.4,Yes,  , 
CmSNP01244 ,E ,21.4, ,  , 
CmSNP01199 ,E ,21.7, ,  , 
CmSNP00371 ,E ,22.1, ,  , 
CmSNP00822 ,E ,22.3, ,  , 
CmSNP00773 ,E ,23.2,Yes,  , 
CmSNP00907 ,E ,23.4,Yes,  , 
CmSNP00639 ,E ,23.5,Yes,  , 
CmSNP00417 ,E ,23.8, ,Yes , 
CmSI0541 ,E ,24.1,Yes,  , 
CmSI0765 ,E ,24.2, ,  , 
CmSNP00148 ,E ,24.4, ,  , 
CmSNP00268 ,E ,24.6, ,  , 
CmSNP00455 ,E ,25,Yes,Yes , 
CmSNP00875 ,E ,25.4,Yes,  , 
CmSNP01530 ,E ,25.6,Yes,  , 
CmSNP00762 ,E ,25.9, ,  , 
CmSNP00495 ,E ,26, ,Yes , 
CmSI0463 ,E ,26.5,Yes,  , 
CmSNP00678 ,E ,27.1,Yes,  , 
CmSNP00266 ,E ,27.6,Yes,  , 
CmSNP00942 ,E ,27.7, ,  , 
CmSNP01425 ,E ,28.6, ,  , 
CmSNP00216 ,E ,28.9, ,  , 
CmSNP00631 ,E ,29.2,Yes,  , 
CmSNP00736 ,E ,29.2,Yes,  , 
CmSNP01421 ,E ,29.2,Yes,  , 
CmSI0467 ,E ,29.4,Yes,  , 
CmSI0606 ,E ,29.7,Yes,  , 
CmSNP00330 ,E ,29.9, ,Yes ,Yes
CmSNP01051 ,E ,29.9,Yes,  , 
CmSNP01367 ,E ,29.9,Yes,  , 
CmSI0939 ,E ,30.3, ,Yes , 
CmSNP00249 ,E ,31, ,Yes ,Yes
CmSI0617 ,E ,31.5,Yes,Yes ,Yes
CmSNP00166 ,E ,31.5,Yes,  , 
CmSNP00422 ,E ,31.5, ,  , 
CmSNP00540 ,E ,31.5, ,  , 
CmSI0761 ,E ,32.3, ,  , 
CmSNP01320 ,E ,32.9,Yes,  , 
CmSNP01415 ,E ,33.1,Yes,  , 
CmSNP00158 ,E ,33.4, ,  , 
CmSI0076 ,E ,33.5,Yes,  , 
CmSI0321 ,E ,33.5,Yes,  , 
CmSNP00715 ,E ,33.5, ,Yes , 
CmSNP01343 ,E ,33.5, ,  , 
CmSNP01364 ,E ,33.8,Yes,  , 
CmSNP01515 ,E ,34.3, ,  , 
CmSNP00650 ,E ,34.6,Yes,Yes ,Yes
CmSNP01131 ,E ,34.7, ,  , 
CmSNP00140 ,E ,34.9, ,  , 
CmSI0883 ,E ,35.1, ,  , 
CmSI0870 ,E ,35.2, ,Yes ,Yes
CmSNP01324 ,E ,35.4,Yes,Yes , 
CmSNP00984 ,E ,35.5, ,  , 
CmSNP00239 ,E ,35.6, ,  , 
CmSI0829 ,E ,36.1, ,  , 
CmSI0035 ,E ,36.4,Yes,  , 
CmSI0908 ,E ,36.4, ,  , 
CmSNP01034 ,E ,37.1,Yes,  , 
CmSNP00349 ,E ,37.4,Yes,  , 
CmSNP00957 ,E ,37.7,Yes,Yes , 
CmSNP01427 ,E ,37.7, ,Yes , 
CmSNP01513 ,E ,37.7, ,  , 
CmSNP00273 ,E ,38.1, ,Yes ,Yes
CmSNP00227 ,E ,38.2, ,  , 
CmSI0558 ,E ,38.7,Yes,  , 
CmSNP00271 ,E ,38.8,Yes,Yes ,Yes
CmSNP00505 ,E ,39,Yes,Yes ,Yes
CmSNP00955 ,E ,39.2,Yes,Yes ,Yes
CmSNP01458 ,E ,39.5, ,  , 
CmSI0396 ,E ,40.1,Yes,  , 
CmSNP01331 ,E ,40.4, ,  , 
CmSI0681 ,E ,40.6, ,  , 
CmSNP01499 ,E ,41.3, ,Yes , 
CmSI0886 ,E ,41.8, ,  , 
CmSNP00615 ,E ,41.8,Yes,  , 
CmSNP01222 ,E ,44,Yes,Yes , 
CmSNP01143 ,E ,47.5, ,  , 
CmSNP01444 ,E ,48.3, ,  , 
CmSNP01486 ,E ,51,Yes,Yes ,Yes
CmSNP01057 ,E ,51.3, ,  , 
CmSNP00859 ,E ,53.7,Yes,  , 
CmSI0800 ,E ,61.5, ,  , 
CmSNP01353 ,E ,64.8, ,  , 
CmSNP00427 ,F ,0,Yes,  , 
CmSNP01217 ,F ,1.1,Yes,  , 
CmSNP00825 ,F ,1.6,Yes,  , 
CmSNP00045 ,F ,4.4,Yes,Yes ,Yes
CmSI0930 ,F ,4.8, ,  , 
CmSNP00504 ,F ,5.8, ,Yes , 
CmSNP01368 ,F ,7.6, ,Yes ,Yes
CmSNP00350 ,F ,8.5,Yes,Yes , 
CmSNP00015 ,F ,9.5, ,  , 
CmSNP01534 ,F ,9.7,Yes,  , 
CmSNP01201 ,F ,12.6, ,  , 
CmSNP01195 ,F ,13.9, ,Yes ,Yes
CmSI0527 ,F ,14.8,Yes,Yes , 
CmSNP00295 ,F ,15.3,Yes,Yes ,Yes
CmSNP00963 ,F ,15.6,Yes,Yes ,Yes
CmSNP01426 ,F ,15.6, ,  , 
CmSI0934 ,F ,16.1, ,  , 
CmSI0627 ,F ,16.8,Yes,Yes ,Yes
