"","Chestnut_contig","Contig_length"
"3117","contig0003117",74718
"3151","contig0003151",74142
"3168","contig0003168",73801
"3262","contig0003262",71814
"3303","contig0003303",71179
"3392","contig0003392",68887
"3444","contig0003444",67819
"3584","contig0003584",65488
"3613","contig0003613",64870
"3629","contig0003629",64621
"3684","contig0003684",63508
"3723","contig0003723",63003
"3754","contig0003754",62275
"3958","contig0003958",59151
"4415","contig0004415",52310
"4482","contig0004482",51244
"4566","contig0004566",50213
"4730","contig0004730",48017
"4909","contig0004909",45911
"5127","contig0005127",43231
"5295","contig0005295",41405
"5412","contig0005412",40170
"5571","contig0005571",38420
"5586","contig0005586",38175
"5787","contig0005787",35970
"6659","contig0006659",27918
"6685","contig0006685",27901
"7728","contig0007728",20298
"10814","contig0010814",7954
