Direction,Peach,Cm,contig,V2,start,stop,V13
1,Pp02,contig0000013,contig0000192,Pp01,4395593,35151757,minus
1,Pp02,contig0000013,contig0000193,Pp01,22094174,43965793,plus
1,Pp02,contig0000013,contig0000195,Pp06,1165370,14276172,minus
1,Pp02,contig0000013,contig0000206,Pp01,34750999,37493193,plus
1,Pp02,contig0000013,contig0000207,Pp02,23460094,26559653,plus
1,Pp02,contig0000013,contig0000208,Pp06,494114,30031017,minus
1,Pp02,contig0000014,contig0000210,Pp04,882566,13561144,minus
1,Pp02,contig0000014,contig0000212,Pp06,30314998,30339255,plus
1,Pp02,contig0000014,contig0000213,Pp01,22943982,27083341,plus
-1,Pp08,contig0000014,contig0000214,Pp02,5477145,29482724,plus
-1,Pp06,contig0000014,contig0000216,Pp06,27073490,27229629,minus
1,Pp02,contig0000014,contig0000217,Pp06,4533362,30515950,plus
1,Pp02,contig0000014,contig0000225,Pp07,10317155,10315068,minus
1,Pp02,contig0000014,contig0000226,Pp06,18627920,18624088,minus
-1,Pp01,contig0000015,contig0000227,Pp07,21719304,21811655,minus
-1,Pp01,contig0000015,contig0000228,Pp01,22093762,47481507,plus
-1,Pp01,contig0000015,contig0000229,Pp05,1048113,11142634,minus
-1,Pp01,contig0000015,contig0000230,Pp02,3697561,3931372,plus
-1,Pp08,contig0000015,contig0000236,Pp06,3296297,28642538,minus
-1,Pp08,contig0000015,contig0000239,Pp03,13445008,23907009,minus
-1,Pp06,contig0000016,contig0000244,Pp03,1304775,1319340,minus
1,Pp06,contig0000016,contig0000245,Pp08,19015416,19028277,minus
1,Pp06,contig0000016,contig0000246,Pp06,3856445,27014066,minus
1,Pp06,contig0000016,contig0000248,Pp01,36039594,42203664,minus
-1,Pp05,contig0000017,contig0000251,Pp07,6589836,8981554,plus
-1,Pp05,contig0000017,contig0000253,Pp01,2935695,36344064,minus
-1,Pp05,contig0000017,contig0000254,Pp01,22093496,23810960,minus
-1,Pp06,contig0000018,contig0000256,Pp06,3121755,29507105,minus
-1,Pp06,contig0000018,contig0000259,Pp02,25815543,25849605,plus
-1,Pp04,contig0000018,contig0000264,Pp06,4702126,11534953,minus
-1,Pp04,contig0000018,contig0000270,Pp08,7007524,16057158,minus
1,Pp03,contig0000018,contig0000271,Pp01,10748422,44757351,minus
-1,Pp06,contig0000018,contig0000273,Pp05,1033910,1089297,plus
-1,Pp06,contig0000018,contig0000274,Pp06,2515309,26032101,plus
1,Pp01,contig0000019,contig0000275,Pp08,19853082,20659192,minus
1,Pp01,contig0000019,contig0000276,Pp06,587925,727743,minus
1,Pp01,contig0000019,contig0000277,Pp05,15802683,15818203,minus
1,Pp01,contig0000019,contig0000279,Pp04,9706814,9774407,plus
-1,Pp01,contig0000019,contig0000285,Pp06,1991364,2023184,minus
1,Pp01,contig0000019,contig0000290,Pp06,5534214,22533911,plus
1,Pp01,contig0000019,contig0000291,Pp04,19894169,19895635,plus
-1,Pp03,contig0000020,contig0000292,Pp01,1778735,22276035,minus
-1,Pp03,contig0000020,contig0000293,Pp03,21283208,21298270,minus
-1,Pp03,contig0000020,contig0000296,Pp08,3337965,20358434,minus
-1,Pp03,contig0000020,contig0000297,Pp01,25599992,25991521,minus
-1,Pp03,contig0000020,contig0000298,Pp02,20598571,28338886,minus
1,Pp04,contig0000020,contig0000299,Pp04,14827797,14860146,minus
1,Pp07,contig0000020,contig0000300,Pp01,12075825,40823954,minus
1,Pp07,contig0000020,contig0000306,Pp01,22505253,22505623,minus
1,Pp07,contig0000021,contig0000307,Pp05,11281783,11288724,minus
-1,Pp03,contig0000021,contig0000308,Pp06,2587880,24549463,plus
-1,Pp02,contig0000021,contig0000309,Pp01,22995930,23024339,minus
-1,Pp03,contig0000021,contig0000310,Pp07,4326763,15417904,plus
1,Pp07,contig0000022,contig0000312,Pp05,344224,10170195,plus
-1,Pp04,contig0000022,contig0000313,Pp06,22053720,23451127,plus
1,Pp08,contig0000023,contig0000314,Pp07,21149086,21174947,plus
1,Pp03,contig0000023,contig0000316,Pp06,5897068,5970181,plus
1,Pp06,contig0000024,contig0000317,Pp01,8877817,44848449,plus
1,Pp06,contig0000024,contig0000318,Pp04,13434711,13433699,minus
1,Pp06,contig0000024,contig0000325,Pp01,28717753,28793327,minus
1,Pp06,contig0000024,contig0000327,Pp02,24374288,24374413,minus
1,Pp06,contig0000024,contig0000328,Pp07,5474222,17036629,plus
-1,Pp05,contig0000025,contig0000331,Pp03,4860952,13317874,minus
-1,Pp05,contig0000025,contig0000338,Pp04,1909875,11175517,minus
-1,Pp05,contig0000025,contig0000342,Pp04,11881549,21615100,plus
-1,Pp05,contig0000025,contig0000346,Pp01,17461277,25344586,plus
-1,Pp05,contig0000025,contig0000347,Pp08,6997074,7421551,plus
-1,Pp05,contig0000025,contig0000350,Pp06,12621861,13045973,minus
-1,Pp02,contig0000027,contig0000351,Pp02,1079938,28820435,minus
-1,Pp01,contig0000027,contig0000356,Pp08,18956268,18958062,plus
-1,Pp02,contig0000027,contig0000357,Pp03,26388453,26967963,minus
-1,Pp02,contig0000027,contig0000359,Pp01,38311471,38311643,minus
-1,Pp06,contig0000027,contig0000360,Pp08,22272029,22298962,plus
-1,Pp02,contig0000027,contig0000361,Pp04,1115630,22338407,plus
1,Pp02,contig0000027,contig0000363,Pp03,1142453,24412062,plus
-1,Pp05,contig0000028,contig0000364,Pp02,14383246,14388510,plus
-1,Pp05,contig0000028,contig0000366,Pp04,1500095,23841371,plus
-1,Pp05,contig0000028,contig0000371,Pp01,41842643,41903737,minus
-1,Pp02,contig0000028,contig0000377,Pp01,30295820,41700552,minus
-1,Pp05,contig0000029,contig0000380,Pp07,967988,20010341,plus
-1,Pp06,contig0000030,contig0000381,Pp02,23460166,25538008,plus
-1,Pp06,contig0000030,contig0000382,Pp05,17846346,17869644,plus
-1,Pp01,contig0000030,contig0000386,Pp05,4229343,12275212,plus
-1,Pp06,contig0000030,contig0000387,Pp06,24424726,25994949,minus
1,Pp06,contig0000030,contig0000389,Pp05,627028,15137279,plus
1,Pp06,contig0000030,contig0000390,Pp07,21043903,21089432,plus
1,Pp01,contig0000031,contig0000394,Pp01,45587052,45680425,minus
-1,Pp01,contig0000032,contig0000399,Pp08,5897972,21443928,minus
-1,Pp01,contig0000032,contig0000401,Pp04,5613197,8961897,minus
-1,Pp01,contig0000032,contig0000404,Pp06,28938123,28984303,minus
-1,Pp04,contig0000033,contig0000407,Pp08,5400516,21033148,minus
-1,Pp04,contig0000033,contig0000408,Pp08,119682,3308025,plus
-1,Pp08,contig0000033,contig0000411,Pp08,7121566,19108931,minus
-1,Pp08,contig0000033,contig0000415,Pp05,680996,17037558,plus
-1,Pp02,contig0000034,contig0000417,Pp05,12745010,16320350,minus
-1,Pp02,contig0000034,contig0000423,Pp03,3634436,8904570,plus
-1,Pp06,contig0000034,contig0000427,Pp05,13821505,15471535,plus
-1,Pp02,contig0000034,contig0000431,Pp03,23621277,23677576,minus
-1,Pp07,contig0000035,contig0000433,Pp05,18084429,18092501,plus
-1,Pp01,contig0000036,contig0000436,Pp03,20923680,20945051,minus
-1,Pp01,contig0000036,contig0000437,Pp04,16466800,16757872,minus
-1,Pp01,contig0000036,contig0000438,Pp01,360307,29571461,minus
-1,Pp01,contig0000036,contig0000440,Pp06,17240435,29369027,minus
-1,Pp01,contig0000036,contig0000446,Pp01,18144826,19170540,plus
-1,Pp01,contig0000036,contig0000452,Pp07,17737960,17737025,minus
-1,Pp01,contig0000037,contig0000455,Pp06,22861092,22918874,plus
-1,Pp01,contig0000037,contig0000461,Pp05,372744,469374,plus
-1,Pp08,contig0000038,contig0000462,Pp05,10997074,11049060,minus
1,Pp05,contig0000038,contig0000463,Pp01,620985,36802522,plus
1,Pp05,contig0000038,contig0000465,Pp01,12126893,43322894,minus
1,Pp07,contig0000039,contig0000467,Pp01,5410309,5495065,plus
-1,Pp07,contig0000040,contig0000473,Pp01,16036091,46037774,minus
1,Pp06,contig0000040,contig0000477,Pp07,18868857,18905434,plus
-1,Pp02,contig0000041,contig0000479,Pp03,4944104,23256753,plus
-1,Pp02,contig0000041,contig0000487,Pp01,2794855,31371758,plus
1,Pp03,contig0000043,contig0000494,Pp01,41491599,41492778,plus
1,Pp03,contig0000043,contig0000498,Pp02,16147578,26926231,minus
1,Pp03,contig0000043,contig0000500,Pp02,8678557,27132467,plus
1,Pp03,contig0000043,contig0000503,Pp05,14161953,14169895,plus
1,Pp03,contig0000043,contig0000506,Pp02,22479039,22775295,plus
1,Pp01,contig0000044,contig0000512,Pp04,10506797,10610702,plus
1,Pp01,contig0000044,contig0000515,Pp01,4794919,38798917,plus
-1,Pp08,contig0000046,contig0000516,Pp04,7768790,7767716,minus
-1,Pp08,contig0000046,contig0000517,Pp02,2916466,6583223,plus
-1,Pp08,contig0000046,contig0000519,Pp01,3700428,37220491,minus
-1,Pp08,contig0000046,contig0000521,Pp01,6066978,6230075,plus
-1,Pp08,contig0000046,contig0000523,Pp06,3539190,4208303,minus
-1,Pp08,contig0000046,contig0000529,Pp04,7072742,7138709,minus
-1,Pp08,contig0000046,contig0000532,Pp01,2945326,2968738,plus
-1,Pp08,contig0000046,contig0000542,Pp05,14971028,15156930,minus
-1,Pp01,contig0000047,contig0000544,Pp01,13362529,40800949,plus
1,Pp01,contig0000048,contig0000547,Pp05,16794474,17349929,minus
-1,Pp01,contig0000048,contig0000548,Pp04,12023584,25237162,minus
-1,Pp08,contig0000048,contig0000549,Pp01,10125860,18152346,minus
-1,Pp08,contig0000048,contig0000557,Pp06,23184233,27073019,plus
-1,Pp04,contig0000048,contig0000558,Pp06,6029980,6110813,plus
1,Pp03,contig0000049,contig0000562,Pp06,24227230,24255566,minus
1,Pp03,contig0000049,contig0000564,Pp03,24350597,25897046,plus
1,Pp03,contig0000049,contig0000565,Pp06,3254098,25564281,plus
1,Pp03,contig0000049,contig0000568,Pp08,18960454,22531282,plus
1,Pp03,contig0000049,contig0000574,Pp05,17732804,17735590,plus
-1,Pp07,contig0000050,contig0000575,Pp06,6934460,23801971,minus
-1,Pp07,contig0000050,contig0000579,Pp07,16224361,16272624,minus
-1,Pp04,contig0000051,contig0000581,Pp03,11749803,24772198,minus
-1,Pp04,contig0000051,contig0000582,Pp03,18315707,18317203,plus
-1,Pp04,contig0000051,contig0000585,Pp02,15336369,15332562,minus
-1,Pp04,contig0000051,contig0000586,Pp08,4980434,12831421,minus
-1,Pp05,contig0000052,contig0000589,Pp06,29864062,29875951,minus
-1,Pp01,contig0000052,contig0000596,Pp04,4356193,4376766,minus
-1,Pp01,contig0000052,contig0000610,Pp02,25900940,25925110,plus
-1,Pp01,contig0000052,contig0000621,Pp07,3907947,3910038,plus
-1,Pp01,contig0000052,contig0000627,Pp06,26117611,26129385,plus
-1,Pp01,contig0000052,contig0000628,Pp06,18367408,18482137,minus
-1,Pp01,contig0000052,contig0000631,Pp08,12076249,21839137,minus
-1,Pp01,contig0000052,contig0000634,Pp07,138177,224337,plus
1,Pp05,contig0000053,contig0000635,Pp06,3805682,3823134,minus
1,Pp07,contig0000054,contig0000636,Pp03,4983750,9434457,minus
1,Pp03,contig0000055,contig0000641,Pp01,8792426,8860942,minus
1,Pp03,contig0000055,contig0000642,Pp01,27350807,27381646,minus
1,Pp03,contig0000055,contig0000645,Pp04,11225669,11224900,minus
1,Pp03,contig0000055,contig0000648,Pp08,933227,3966160,plus
1,Pp07,contig0000055,contig0000649,Pp01,35044659,35097872,minus
1,Pp07,contig0000055,contig0000652,Pp01,2655920,44509802,plus
1,Pp07,contig0000055,contig0000655,Pp07,9254812,15015785,plus
-1,Pp01,contig0000056,contig0000659,Pp06,13780160,29602390,plus
1,Pp07,contig0000056,contig0000671,Pp06,29680043,29693052,plus
1,Pp07,contig0000056,contig0000672,Pp05,10717126,10795651,plus
1,Pp07,contig0000056,contig0000679,Pp02,22919651,29344141,plus
1,Pp07,contig0000056,contig0000680,Pp08,976046,9953254,minus
1,Pp01,contig0000057,contig0000685,Pp02,18482336,18519840,plus
1,Pp01,contig0000057,contig0000687,Pp02,3447711,26932423,plus
1,Pp01,contig0000057,contig0000698,Pp07,3797621,16974835,plus
-1,Pp01,contig0000058,contig0000703,Pp02,1937484,20183212,minus
-1,Pp01,contig0000058,contig0000704,Pp04,411991,413333,plus
1,Pp02,contig0000058,contig0000706,Pp03,4234704,4357380,minus
1,Pp03,contig0000060,contig0000707,Pp02,16150162,29072693,plus
1,Pp03,contig0000060,contig0000708,Pp02,1936177,27097992,minus
-1,Pp02,contig0000061,contig0000714,Pp08,18500200,18498280,minus
-1,Pp02,contig0000061,contig0000715,Pp05,6155943,6300172,plus
-1,Pp02,contig0000061,contig0000719,Pp03,14053080,14051642,minus
-1,Pp08,contig0000061,contig0000720,Pp01,1387046,40116600,plus
1,Pp02,contig0000062,contig0000722,Pp06,3618218,29006024,plus
1,Pp02,contig0000062,contig0000723,Pp03,6305568,6308028,plus
1,Pp02,contig0000062,contig0000726,Pp03,25061905,25063266,plus
1,Pp01,contig0000062,contig0000728,Pp01,27925072,44268212,minus
-1,Pp01,contig0000062,contig0000736,Pp01,22667914,22676792,minus
1,Pp01,contig0000062,contig0000741,Pp05,13672861,17397712,plus
1,Pp01,contig0000062,contig0000743,Pp05,11444619,11445561,plus
-1,Pp04,contig0000063,contig0000744,Pp01,36138630,36169439,minus
-1,Pp05,contig0000063,contig0000748,Pp01,35199318,35197217,minus
-1,Pp02,contig0000064,contig0000756,Pp06,550081,29067393,plus
-1,Pp02,contig0000064,contig0000762,Pp06,29712193,30023373,minus
-1,Pp07,contig0000065,contig0000763,Pp04,1468485,6126611,plus
-1,Pp01,contig0000066,contig0000764,Pp02,19537949,19551218,minus
1,Pp04,contig0000066,contig0000765,Pp03,8910813,16597813,minus
-1,Pp03,contig0000067,contig0000766,Pp06,4862663,4891964,minus
-1,Pp03,contig0000067,contig0000767,Pp04,21409814,21409095,minus
-1,Pp03,contig0000067,contig0000768,Pp01,23529831,46451138,plus
-1,Pp03,contig0000067,contig0000772,Pp05,11014906,13468160,minus
-1,Pp01,contig0000068,contig0000773,Pp01,11601472,36249169,minus
-1,Pp03,contig0000068,contig0000775,Pp01,30524516,30556620,plus
1,Pp03,contig0000068,contig0000778,Pp01,38327271,40907289,plus
-1,Pp03,contig0000068,contig0000779,Pp04,212136,213195,minus
1,Pp07,contig0000068,contig0000781,Pp05,15836988,16687165,plus
-1,Pp03,contig0000069,contig0000782,Pp08,6441834,6547073,minus
-1,Pp03,contig0000069,contig0000786,Pp03,6134534,21341160,minus
-1,Pp03,contig0000069,contig0000787,Pp06,3618147,29005951,minus
-1,Pp03,contig0000069,contig0000795,Pp02,25391475,25399809,plus
-1,Pp03,contig0000070,contig0000798,Pp03,3386794,21913337,minus
-1,Pp07,contig0000071,contig0000802,Pp02,1937112,20183165,minus
-1,Pp07,contig0000071,contig0000804,Pp01,44631254,45055550,minus
-1,Pp05,contig0000072,contig0000806,Pp07,12715841,12736715,plus
1,Pp01,contig0000073,contig0000807,Pp02,22719086,22720606,minus
1,Pp01,contig0000073,contig0000810,Pp06,5952483,30178392,minus
1,Pp01,contig0000073,contig0000812,Pp05,2319229,16973228,minus
1,Pp01,contig0000073,contig0000814,Pp01,9883067,9923865,plus
1,Pp01,contig0000073,contig0000822,Pp07,4300595,12893166,minus
1,Pp01,contig0000073,contig0000824,Pp05,9701442,12188820,minus
1,Pp01,contig0000073,contig0000829,Pp02,24442471,24497251,minus
1,Pp01,contig0000073,contig0000831,Pp02,8485178,27066789,plus
1,Pp01,contig0000073,contig0000838,Pp04,2482377,2543852,minus
-1,Pp05,contig0000073,contig0000842,Pp02,22770499,22785019,minus
1,Pp04,contig0000074,contig0000843,Pp01,22684329,22752271,minus
1,Pp04,contig0000074,contig0000845,Pp06,1624771,1873427,minus
1,Pp04,contig0000074,contig0000850,Pp06,4017312,4048260,minus
1,Pp04,contig0000074,contig0000853,Pp06,29196609,29222275,plus
1,Pp02,contig0000075,contig0000854,Pp04,24025703,24027191,minus
-1,Pp06,contig0000076,contig0000856,Pp04,18092274,19890774,plus
1,Pp05,contig0000077,contig0000860,Pp02,22497638,22497735,minus
1,Pp05,contig0000077,contig0000861,Pp01,31642953,31651072,plus
-1,Pp07,contig0000077,contig0000866,Pp01,9644877,31691013,minus
1,Pp05,contig0000077,contig0000867,Pp06,3619700,26365718,plus
1,Pp08,contig0000078,contig0000875,Pp06,415391,456786,minus
-1,Pp06,contig0000078,contig0000879,Pp02,16509619,28768491,plus
1,Pp02,contig0000079,contig0000890,Pp03,4411054,22582710,plus
1,Pp02,contig0000079,contig0000898,Pp08,9580691,12831421,minus
-1,Pp03,contig0000079,contig0000901,Pp01,40126568,40154592,minus
-1,Pp03,contig0000079,contig0000902,Pp01,29325625,29323399,minus
-1,Pp08,contig0000079,contig0000903,Pp01,1119907,27323651,plus
1,Pp01,contig0000080,contig0000908,Pp06,11675534,28884943,minus
-1,Pp05,contig0000081,contig0000909,Pp06,21744236,25168213,minus
-1,Pp05,contig0000081,contig0000913,Pp05,1502818,1504661,plus
-1,Pp05,contig0000081,contig0000915,Pp01,2889347,2918066,plus
-1,Pp05,contig0000081,contig0000917,Pp02,6702764,9125996,plus
-1,Pp05,contig0000081,contig0000919,Pp01,33642693,33677065,minus
-1,Pp07,contig0000081,contig0000922,Pp03,145787,147142,plus
1,Pp01,contig0000082,contig0000924,Pp07,15169655,15207651,minus
1,Pp01,contig0000082,contig0000925,Pp01,26261845,26299019,plus
1,Pp01,contig0000082,contig0000935,Pp02,13358104,13389743,minus
1,Pp06,contig0000082,contig0000937,Pp02,3434442,27211024,plus
1,Pp01,contig0000083,contig0000938,Pp08,18350173,18351022,plus
1,Pp01,contig0000083,contig0000952,Pp02,2934750,26051201,plus
1,Pp01,contig0000083,contig0000957,Pp06,4382603,4556246,minus
1,Pp01,contig0000083,contig0000958,Pp01,42717598,42754850,minus
1,Pp02,contig0000083,contig0000959,Pp06,23801901,29326021,minus
1,Pp01,contig0000084,contig0000960,Pp01,8683763,8751312,minus
1,Pp01,contig0000084,contig0000965,Pp03,25158403,27020475,plus
-1,Pp04,contig0000084,contig0000969,Pp05,15780036,15789917,minus
1,Pp02,contig0000084,contig0000970,Pp01,7629699,31960264,minus
1,Pp01,contig0000084,contig0000972,Pp06,2494204,2514141,plus
1,Pp01,contig0000084,contig0000974,Pp07,11616453,11726817,plus
1,Pp06,contig0000085,contig0000976,Pp06,28561819,28596960,minus
1,Pp07,contig0000085,contig0000987,Pp01,9993396,45675391,plus
-1,Pp08,contig0000085,contig0000994,Pp05,1048185,15416905,plus
-1,Pp02,contig0000087,contig0000998,Pp01,42448519,42446734,minus
-1,Pp02,contig0000087,contig0001010,Pp06,23022255,23083738,plus
-1,Pp02,contig0000087,contig0001011,Pp03,2839808,23688113,plus
-1,Pp02,contig0000087,contig0001012,Pp04,24949768,24952355,minus
-1,Pp02,contig0000087,contig0001013,Pp06,12187936,12357725,plus
1,Pp05,contig0000087,contig0001014,Pp06,29787672,29797385,plus
-1,Pp02,contig0000087,contig0001016,Pp06,13780067,29817537,minus
-1,Pp02,contig0000087,contig0001017,Pp05,17279218,17316937,plus
1,Pp01,contig0000088,contig0001018,Pp02,20812780,28150035,minus
1,Pp01,contig0000088,contig0001020,Pp01,16945584,30465942,plus
-1,Pp04,contig0000089,contig0001024,Pp03,63395,96264,plus
-1,Pp08,contig0000089,contig0001025,Pp06,8558742,20438241,plus
-1,Pp03,contig0000089,contig0001028,Pp02,28026742,28038968,plus
-1,Pp03,contig0000089,contig0001029,Pp03,22246007,25257095,minus
-1,Pp03,contig0000089,contig0001034,Pp02,5606841,24298983,minus
1,Pp01,contig0000090,contig0001036,Pp04,169812,170912,minus
1,Pp07,contig0000091,contig0001041,Pp01,3619196,31682440,minus
-1,Pp07,contig0000091,contig0001042,Pp01,998187,1014270,plus
-1,Pp01,contig0000091,contig0001043,Pp08,21231180,21255892,minus
-1,Pp02,contig0000092,contig0001049,Pp03,14599765,19192801,minus
-1,Pp02,contig0000092,contig0001050,Pp07,10029863,10068825,plus
-1,Pp05,contig0000093,contig0001056,Pp08,19824062,19848763,plus
1,Pp04,contig0000093,contig0001060,Pp03,207922,11108346,plus
1,Pp04,contig0000093,contig0001064,Pp01,5080054,31011543,plus
1,Pp04,contig0000093,contig0001066,Pp07,21103505,21138103,plus
-1,Pp01,contig0000094,contig0001068,Pp08,19558778,19587273,plus
-1,Pp01,contig0000094,contig0001069,Pp06,5052744,24965378,minus
1,Pp01,contig0000095,contig0001072,Pp01,35336309,42818885,minus
1,Pp01,contig0000095,contig0001073,Pp07,20711879,20767540,plus
1,Pp01,contig0000095,contig0001076,Pp01,47318568,47324823,minus
1,Pp01,contig0000095,contig0001082,Pp07,21189051,21265232,minus
1,Pp08,contig0000095,contig0001083,Pp08,16996296,17013633,plus
1,Pp01,contig0000095,contig0001088,Pp01,16938357,39109257,minus
1,Pp01,contig0000095,contig0001089,Pp04,3892849,23977612,plus
-1,Pp01,contig0000096,contig0001091,Pp01,1026577,34482603,minus
-1,Pp01,contig0000096,contig0001095,Pp06,26908182,26917596,minus
-1,Pp08,contig0000097,contig0001096,Pp03,1814804,1816940,minus
1,Pp05,contig0000097,contig0001098,Pp07,17462443,17463195,minus
1,Pp05,contig0000097,contig0001099,Pp06,987496,1042770,minus
1,Pp05,contig0000097,contig0001105,Pp03,5092532,5129833,minus
-1,Pp05,contig0000097,contig0001106,Pp06,6645229,29624305,minus
-1,Pp06,contig0000097,contig0001114,Pp07,18939070,18940542,plus
-1,Pp01,contig0000098,contig0001119,Pp03,5809419,7082940,minus
-1,Pp01,contig0000098,contig0001122,Pp03,104727,18438473,minus
1,Pp01,contig0000098,contig0001124,Pp01,28003657,38650351,plus
1,Pp01,contig0000098,contig0001125,Pp06,531089,30031018,minus
1,Pp06,contig0000099,contig0001127,Pp04,5377969,8504761,minus
-1,Pp06,contig0000100,contig0001128,Pp03,4348328,27074313,plus
-1,Pp01,contig0000100,contig0001130,Pp08,14781246,14795457,plus
1,Pp01,contig0000100,contig0001134,Pp05,13797082,14643900,minus
1,Pp01,contig0000101,contig0001135,Pp02,9704119,20183437,plus
